method,seed,task,initial_tp,initial_fn,initial_fp,initial_tn,initial_fnr,initial_fpr,final_tp,final_fn,final_fp,final_tn,final_fnr,final_fpr,delta_fnr,delta_fpr
finetune,7,baseline,626,11,14,537,0.01726844583987441,0.025408348457350273,621,16,14,537,0.02511773940345369,0.025408348457350273,0.00784929356357928,0.0
finetune,7,wind5,640,10,19,434,0.015384615384615385,0.04194260485651214,639,11,26,427,0.016923076923076923,0.05739514348785872,0.0015384615384615372,0.015452538631346581
finetune,7,speed15,523,15,12,787,0.027881040892193308,0.015018773466833541,519,19,26,773,0.03531598513011153,0.03254067584480601,0.007434944237918219,0.017521902377972465
finetune,7,alt180,597,8,10,654,0.013223140495867768,0.015060240963855422,597,8,12,652,0.013223140495867768,0.018072289156626505,0.0,0.0030120481927710836
finetune,7,speed10,533,16,23,835,0.029143897996357013,0.026806526806526808,525,24,61,797,0.04371584699453552,0.07109557109557109,0.014571948998178506,0.04428904428904428
finetune,11,baseline,621,16,12,539,0.02511773940345369,0.021778584392014518,613,24,24,527,0.03767660910518053,0.043557168784029036,0.01255886970172684,0.021778584392014518
finetune,11,wind5,641,9,20,433,0.013846153846153847,0.04415011037527594,634,16,31,422,0.024615384615384615,0.0684326710816777,0.010769230769230769,0.024282560706401765
finetune,11,speed15,526,12,12,787,0.022304832713754646,0.015018773466833541,508,30,39,760,0.055762081784386616,0.04881101376720901,0.03345724907063197,0.03379224030037547
finetune,11,alt180,597,8,12,652,0.013223140495867768,0.018072289156626505,595,10,9,655,0.01652892561983471,0.01355421686746988,0.003305785123966943,-0.0045180722891566254
finetune,11,speed10,534,15,15,843,0.0273224043715847,0.017482517482517484,512,37,77,781,0.06739526411657559,0.08974358974358974,0.04007285974499089,0.07226107226107226
finetune,23,baseline,625,12,13,538,0.018838304552590265,0.023593466424682397,616,21,18,533,0.03296703296703297,0.032667876588021776,0.014128728414442702,0.009074410163339378
finetune,23,wind5,640,10,17,436,0.015384615384615385,0.037527593818984545,638,12,25,428,0.018461538461538463,0.05518763796909492,0.003076923076923078,0.017660044150110375
finetune,23,speed15,525,13,11,788,0.024163568773234202,0.01376720901126408,510,28,42,757,0.05204460966542751,0.052565707133917394,0.027881040892193308,0.03879849812265331
finetune,23,alt180,596,9,10,654,0.01487603305785124,0.015060240963855422,596,9,9,655,0.01487603305785124,0.01355421686746988,0.0,-0.0015060240963855418
finetune,23,speed10,534,15,15,843,0.0273224043715847,0.017482517482517484,523,26,84,774,0.04735883424408015,0.0979020979020979,0.02003642987249545,0.08041958041958042
finetune,47,baseline,627,10,17,534,0.015698587127158554,0.030852994555353903,622,15,17,534,0.023547880690737835,0.030852994555353903,0.00784929356357928,0.0
finetune,47,wind5,638,12,18,435,0.018461538461538463,0.039735099337748346,642,8,27,426,0.012307692307692308,0.059602649006622516,-0.006153846153846156,0.01986754966887417
finetune,47,speed15,525,13,11,788,0.024163568773234202,0.01376720901126408,518,20,33,766,0.03717472118959108,0.04130162703379224,0.013011152416356878,0.027534418022528158
finetune,47,alt180,598,7,11,653,0.011570247933884297,0.016566265060240965,598,7,10,654,0.011570247933884297,0.015060240963855422,0.0,-0.0015060240963855435
finetune,47,speed10,536,13,16,842,0.023679417122040074,0.018648018648018648,519,30,70,788,0.0546448087431694,0.08158508158508158,0.030965391621129323,0.06293706293706294
finetune,59,baseline,625,12,15,536,0.018838304552590265,0.02722323049001815,617,20,21,530,0.03139717425431711,0.038112522686025406,0.012558869701726844,0.010889292196007257
finetune,59,wind5,640,10,19,434,0.015384615384615385,0.04194260485651214,635,15,34,419,0.023076923076923078,0.07505518763796909,0.007692307692307693,0.03311258278145695
finetune,59,speed15,525,13,11,788,0.024163568773234202,0.01376720901126408,515,23,30,769,0.04275092936802974,0.03754693366708386,0.018587360594795536,0.023779724655819776
finetune,59,alt180,597,8,11,653,0.013223140495867768,0.016566265060240965,596,9,10,654,0.01487603305785124,0.015060240963855422,0.0016528925619834715,-0.0015060240963855435
finetune,59,speed10,532,17,18,840,0.030965391621129327,0.02097902097902098,520,29,65,793,0.052823315118397086,0.07575757575757576,0.02185792349726776,0.05477855477855478
finetune,71,baseline,625,12,14,537,0.018838304552590265,0.025408348457350273,621,16,19,532,0.02511773940345369,0.034482758620689655,0.006279434850863425,0.009074410163339382
finetune,71,wind5,641,9,18,435,0.013846153846153847,0.039735099337748346,640,10,25,428,0.015384615384615385,0.05518763796909492,0.001538461538461539,0.015452538631346574
finetune,71,speed15,524,14,12,787,0.026022304832713755,0.015018773466833541,517,21,33,766,0.03903345724907063,0.04130162703379224,0.013011152416356878,0.026282853566958697
finetune,71,alt180,595,10,10,654,0.01652892561983471,0.015060240963855422,599,6,11,653,0.009917355371900827,0.016566265060240965,-0.006611570247933884,0.0015060240963855435
finetune,71,speed10,533,16,18,840,0.029143897996357013,0.02097902097902098,521,28,65,793,0.051001821493624776,0.07575757575757576,0.021857923497267763,0.05477855477855478
finetune,89,baseline,624,13,15,536,0.02040816326530612,0.02722323049001815,617,20,21,530,0.03139717425431711,0.038112522686025406,0.010989010989010988,0.010889292196007257
finetune,89,wind5,638,12,19,434,0.018461538461538463,0.04194260485651214,637,13,28,425,0.02,0.06181015452538632,0.0015384615384615372,0.019867549668874177
finetune,89,speed15,525,13,10,789,0.024163568773234202,0.012515644555694618,511,27,35,764,0.05018587360594796,0.04380475594493116,0.026022304832713755,0.03128911138923654
finetune,89,alt180,598,7,10,654,0.011570247933884297,0.015060240963855422,595,10,9,655,0.01652892561983471,0.01355421686746988,0.004958677685950414,-0.0015060240963855418
finetune,89,speed10,534,15,15,843,0.0273224043715847,0.017482517482517484,519,30,70,788,0.0546448087431694,0.08158508158508158,0.0273224043715847,0.0641025641025641
finetune,107,baseline,626,11,13,538,0.01726844583987441,0.023593466424682397,624,13,18,533,0.02040816326530612,0.032667876588021776,0.003139717425431711,0.009074410163339378
finetune,107,wind5,638,12,21,432,0.018461538461538463,0.046357615894039736,642,8,21,432,0.012307692307692308,0.046357615894039736,-0.006153846153846156,0.0
finetune,107,speed15,525,13,11,788,0.024163568773234202,0.01376720901126408,519,19,26,773,0.03531598513011153,0.03254067584480601,0.011152416356877325,0.018773466833541926
finetune,107,alt180,597,8,11,653,0.013223140495867768,0.016566265060240965,595,10,11,653,0.01652892561983471,0.016566265060240965,0.003305785123966943,0.0
finetune,107,speed10,532,17,17,841,0.030965391621129327,0.019813519813519812,525,24,67,791,0.04371584699453552,0.0780885780885781,0.012750455373406192,0.058275058275058286
reservoir,7,baseline,626,11,14,537,0.01726844583987441,0.025408348457350273,626,11,17,534,0.01726844583987441,0.030852994555353903,0.0,0.00544464609800363
reservoir,7,wind5,640,10,18,435,0.015384615384615385,0.039735099337748346,639,11,18,435,0.016923076923076923,0.039735099337748346,0.0015384615384615372,0.0
reservoir,7,speed15,526,12,11,788,0.022304832713754646,0.01376720901126408,524,14,11,788,0.026022304832713755,0.01376720901126408,0.0037174721189591094,0.0
reservoir,7,alt180,598,7,13,651,0.011570247933884297,0.01957831325301205,594,11,10,654,0.01818181818181818,0.015060240963855422,0.006611570247933884,-0.004518072289156627
reservoir,7,speed10,535,14,20,838,0.025500910746812388,0.023310023310023312,533,16,22,836,0.029143897996357013,0.02564102564102564,0.003642987249544625,0.0023310023310023284
reservoir,11,baseline,621,16,12,539,0.02511773940345369,0.021778584392014518,626,11,15,536,0.01726844583987441,0.02722323049001815,-0.00784929356357928,0.00544464609800363
reservoir,11,wind5,639,11,20,433,0.016923076923076923,0.04415011037527594,640,10,18,435,0.015384615384615385,0.039735099337748346,-0.0015384615384615372,-0.0044150110375275955
reservoir,11,speed15,525,13,12,787,0.024163568773234202,0.015018773466833541,522,16,12,787,0.02973977695167286,0.015018773466833541,0.005576208178438659,0.0
reservoir,11,alt180,598,7,11,653,0.011570247933884297,0.016566265060240965,594,11,10,654,0.01818181818181818,0.015060240963855422,0.006611570247933884,-0.0015060240963855435
reservoir,11,speed10,534,15,18,840,0.0273224043715847,0.02097902097902098,533,16,18,840,0.029143897996357013,0.02097902097902098,0.0018214936247723142,0.0
reservoir,23,baseline,625,12,13,538,0.018838304552590265,0.023593466424682397,625,12,18,533,0.018838304552590265,0.032667876588021776,0.0,0.009074410163339378
reservoir,23,wind5,637,13,17,436,0.02,0.037527593818984545,639,11,19,434,0.016923076923076923,0.04194260485651214,-0.003076923076923078,0.0044150110375275955
reservoir,23,speed15,525,13,13,786,0.024163568773234202,0.016270337922403004,522,16,13,786,0.02973977695167286,0.016270337922403004,0.005576208178438659,0.0
reservoir,23,alt180,597,8,12,652,0.013223140495867768,0.018072289156626505,596,9,10,654,0.01487603305785124,0.015060240963855422,0.0016528925619834715,-0.0030120481927710836
reservoir,23,speed10,535,14,14,844,0.025500910746812388,0.016317016317016316,535,14,18,840,0.025500910746812388,0.02097902097902098,0.0,0.004662004662004664
reservoir,47,baseline,627,10,17,534,0.015698587127158554,0.030852994555353903,626,11,15,536,0.01726844583987441,0.02722323049001815,0.0015698587127158554,-0.0036297640653357548
reservoir,47,wind5,637,13,20,433,0.02,0.04415011037527594,638,12,19,434,0.018461538461538463,0.04194260485651214,-0.0015384615384615372,-0.0022075055187638012
reservoir,47,speed15,525,13,11,788,0.024163568773234202,0.01376720901126408,524,14,11,788,0.026022304832713755,0.01376720901126408,0.001858736059479553,0.0
reservoir,47,alt180,600,5,13,651,0.008264462809917356,0.01957831325301205,597,8,14,650,0.013223140495867768,0.02108433734939759,0.004958677685950413,0.00150602409638554
