method,seed,initial_fnr,final_fnr,delta_fnr,initial_fpr,final_fpr,delta_fpr
cgsm_dual,7,0.07413445376874801,0.07564655054294156,0.001512096774193547,0.023917902724842826,0.02249585662645942,-0.0014220460983834047
cgsm_dual,11,0.0866399058451591,0.08176265731119804,-0.004877248533961068,0.02305826521272271,0.023589648982111362,0.0005313837693886492
cgsm_dual,23,0.07256439960107075,0.08981530907096555,0.017250909469894805,0.02273395186455466,0.023047923607097832,0.00031397174254317107
cgsm_dual,47,0.07982637008238982,0.07971587203214844,-0.00011049805024137688,0.02517053657672228,0.02305107169986606,-0.0021194648768562167
cgsm_dual,59,0.07294061736321807,0.0868339292410226,0.013893311877804543,0.023365835744204415,0.024601039503127343,0.0012352037589229245
cgsm_dual,71,0.07568726217011953,0.08417622651646929,0.008488964346349746,0.023079635700242653,0.024297180221557493,0.0012175445213148373
cgsm_dual,89,0.08191169421798113,0.08508709744378758,0.0031754032258064528,0.022522924957298067,0.022698862533990043,0.00017593757669197573
cgsm_dual,107,0.08010178139292423,0.08139642425006707,0.0012946428571428566,0.02304454636967804,0.02423164532273444,0.0011870989530564009
dualls_adapted,7,0.0820456227894097,0.07575704859318293,-0.006288574196226764,0.02312774050610918,0.022457390058475017,-0.0006703504476341636
dualls_adapted,11,0.0833327114788753,0.08244122374881395,-0.0008914877300613494,0.02336921298162421,0.021763911674565622,-0.001605301307058588
dualls_adapted,23,0.07906424295946675,0.07821103632324429,-0.0008532066362224588,0.02295123977227358,0.023161563311787408,0.00021032353951382852
dualls_adapted,47,0.07906424295946675,0.07658844149880936,-0.00247580146065738,0.02322442434093343,0.023503306752911988,0.00027888241197855586
dualls_adapted,59,0.07549537620520726,0.07989563586509317,0.004400259659885911,0.022968669865230107,0.02496288690688548,0.001994217041655372
dualls_adapted,71,0.08190414005030386,0.08804367733974754,0.0061395372894436735,0.02251351586406751,0.022875363267825643,0.0003618474037581365
dualls_adapted,89,0.0808013831580733,0.0839029526368861,0.0031015694788128017,0.021705694407725774,0.021312134910822813,-0.00039355949690296244
dualls_adapted,107,0.07782000332813034,0.07816306363077692,0.000343060302646582,0.022730803771786427,0.02284027393726103,0.00010947016547460179
finetune,7,0.08229004941107965,0.09847862051353398,0.016188571102454336,0.02430055745897728,0.03619412034487205,0.011893562885894765
finetune,11,0.07805986198550999,0.10844114277753555,0.030381280792025577,0.0226826989659199,0.05002570393899693,0.027343004973077022
finetune,23,0.08210571761384462,0.10341810130288118,0.02131238368903656,0.021763911674565622,0.048884529396507274,0.02712061772194166
finetune,47,0.07655016040497047,0.09441390232830245,0.01786374192333198,0.02301677467109663,0.04298784859498149,0.019971073923884856
finetune,59,0.07910709201759594,0.098662952310769,0.019555860293173067,0.023113458505920885,0.04164433361943699,0.01853087511351611
finetune,71,0.0861823001683409,0.10245899992039272,0.01627669975205181,0.02142310074583536,0.04000545790263778,0.01858235715680242
finetune,89,0.08047556862173244,0.10679508209222839,0.026319513470495947,0.022522924957298067,0.04522142739961848,0.022698502442320412
finetune,107,0.0844303447367677,0.09258350984576025,0.008153165108992552,0.02294763339020223,0.03900871602886795,0.01606108263866572
gss_adapted,7,0.07929897798250822,0.08184404522586894,0.002545067243360728,0.023734647516167644,0.02273395186455466,-0.001000695651612984
gss_adapted,11,0.08350735167748184,0.07607317153089532,-0.007434180146586535,0.021657818746510807,0.0227753021955816,0.0011174834490707934
gss_adapted,23,0.07537113923240715,0.08190414005030386,0.006533000817896711,0.022257761388364182,0.021705694407725774,-0.0005520669806384087
gss_adapted,47,0.07807198411747754,0.07375311237226254,-0.004318871745215007,0.024221532861761118,0.022944275404068487,-0.001277257457692629
gss_adapted,59,0.07450311736321806,0.0831235797476573,0.00862046238443923,0.022972610259793524,0.022267170481594743,-0.0007054397781987801
gss_adapted,71,0.08047556862173244,0.08825280907096555,0.0077772404492331155,0.023396984680205617,0.022375252553564755,-0.0010217321266408614
gss_adapted,89,0.07887021956360325,0.0820456227894097,0.00317540322580645,0.022302488956810914,0.021287721198375145,-0.0010147677584357718
gss_adapted,107,0.08153035282149565,0.08512994650191677,0.003599593680421116,0.024224890847894857,0.02427637289118117,5.148204328631403e-05
reservoir,7,0.07607317153089532,0.08392019840319183,0.007847026872296513,0.02326858875223654,0.02420725086157282,0.0009386621093362815
reservoir,11,0.08202837702310398,0.08490490307750378,0.0028765260543998014,0.02284491769956721,0.023275906384219745,0.000430988684652539
reservoir,23,0.0793900574958076,0.08484480825306885,0.00545475075726125,0.0223512971304202,0.024601039503127343,0.002249742372707138
reservoir,47,0.07360193803452823,0.08736132134090421,0.013759383306375971,0.023327369176220008,0.023720365515979346,0.00039299633975933693
reservoir,59,0.07611602058902452,0.07510191267675423,-0.0010141079122702832,0.022558014287862683,0.022713144534178338,0.00015513024631565696
reservoir,71,0.08319122873976947,0.08365852601521614,0.00046729727544668335,0.021878254746997956,0.022093817840527375,0.00021556309352941498
reservoir,89,0.07697435085958514,0.0803588858166096,0.0033845349570244625,0.023149006125788612,0.023861776919250333,0.0007127707934617193
reservoir,107,0.07798628600121915,0.080425165395926,0.002438879394706836,0.022019666150268947,0.021556262004728818,-0.0004634041455401267
