method,seed,task,initial_tp,initial_fn,initial_fp,initial_tn,initial_fnr,initial_fpr,final_tp,final_fn,final_fp,final_tn,final_fnr,final_fpr,delta_fnr,delta_fpr
finetune,7,baseline,153,10,14,513,0.06134969325153374,0.026565464895635674,149,14,10,517,0.08588957055214724,0.018975332068311195,0.0245398773006135,-0.007590132827324479
finetune,7,wind5,106,8,18,405,0.07017543859649122,0.0425531914893617,105,9,20,403,0.07894736842105263,0.04728132387706856,0.008771929824561403,0.004728132387706856
finetune,7,speed15,116,12,11,771,0.09375,0.014066496163682864,113,15,25,757,0.1171875,0.0319693094629156,0.0234375,0.01790281329923274
finetune,7,alt180,132,8,10,627,0.05714285714285714,0.015698587127158554,132,8,11,626,0.05714285714285714,0.01726844583987441,0.0,0.0015698587127158554
finetune,7,speed10,108,16,19,821,0.12903225806451613,0.02261904761904762,105,19,55,785,0.1532258064516129,0.06547619047619048,0.02419354838709678,0.04285714285714286
finetune,11,baseline,151,12,12,515,0.0736196319018405,0.022770398481973434,150,13,20,507,0.07975460122699386,0.03795066413662239,0.006134969325153367,0.015180265654648955
finetune,11,wind5,108,6,18,405,0.05263157894736842,0.0425531914893617,105,9,27,396,0.07894736842105263,0.06382978723404255,0.02631578947368421,0.021276595744680847
finetune,11,speed15,117,11,12,770,0.0859375,0.015345268542199489,111,17,37,745,0.1328125,0.04731457800511509,0.046875,0.0319693094629156
finetune,11,alt180,132,8,11,626,0.05714285714285714,0.01726844583987441,132,8,9,628,0.05714285714285714,0.0141287284144427,0.0,-0.003139717425431709
finetune,11,speed10,109,15,13,827,0.12096774193548387,0.015476190476190477,100,24,73,767,0.1935483870967742,0.0869047619047619,0.07258064516129031,0.07142857142857142
finetune,23,baseline,153,10,13,514,0.06134969325153374,0.024667931688804556,150,13,15,512,0.07975460122699386,0.028462998102466792,0.01840490797546012,0.003795066413662236
finetune,23,wind5,106,8,17,406,0.07017543859649122,0.04018912529550828,105,9,25,398,0.07894736842105263,0.0591016548463357,0.008771929824561403,0.018912529550827423
finetune,23,speed15,116,12,10,772,0.09375,0.01278772378516624,111,17,39,743,0.1328125,0.049872122762148335,0.0390625,0.0370843989769821
finetune,23,alt180,131,9,10,627,0.06428571428571428,0.015698587127158554,131,9,9,628,0.06428571428571428,0.0141287284144427,0.0,-0.0015698587127158537
finetune,23,speed10,109,15,13,827,0.12096774193548387,0.015476190476190477,104,20,78,762,0.16129032258064516,0.09285714285714286,0.04032258064516128,0.07738095238095238
finetune,47,baseline,154,9,15,512,0.05521472392638037,0.028462998102466792,151,12,14,513,0.0736196319018405,0.026565464895635674,0.018404907975460127,-0.001897533206831118
finetune,47,wind5,105,9,17,406,0.07894736842105263,0.04018912529550828,107,7,23,400,0.06140350877192982,0.054373522458628844,-0.017543859649122806,0.014184397163120567
finetune,47,speed15,116,12,11,771,0.09375,0.014066496163682864,115,13,32,750,0.1015625,0.04092071611253197,0.0078125,0.02685421994884911
finetune,47,alt180,133,7,10,627,0.05,0.015698587127158554,133,7,10,627,0.05,0.015698587127158554,0.0,0.0
