method,metric,mean,ci_low,ci_high
finetune,initial_fnr,0.08115013686998021,0.07911089690431178,0.08326998349915705
finetune,final_fnr,0.10065653888642545,0.09706327999906426,0.10423877382592267
finetune,delta_fnr,0.01950640201644523,0.015180811081111646,0.02386062491661074
finetune,initial_fpr,0.022721382546227,0.022164060864676448,0.02329538242635494
finetune,final_fpr,0.04299651715323986,0.03996046542309947,0.04616480123806029
finetune,delta_fpr,0.02027513460701287,0.01688425668604708,0.023715197596678464
reservoir,initial_fnr,0.07817017878424168,0.07614064723067689,0.08028871224574646
reservoir,final_fnr,0.08257196512239684,0.07990848685869012,0.08484158385555468
reservoir,delta_fnr,0.0044017863381551545,0.0016304047398329594,0.007682431223547935
reservoir,initial_fpr,0.02267463925867027,0.02230054971314771,0.02303423784468999
reservoir,final_fpr,0.023253695445448017,0.022541724651042698,0.023913463746656767
reservoir,delta_fpr,0.0005790561867777451,0.00011504319022886833,0.001136455485107474
gss_adapted,initial_fnr,0.07895358892249052,0.07701328643509128,0.08084875510398826
gss_adapted,final_fnr,0.08151580341115999,0.07838306205068225,0.08445291200525758
gss_adapted,delta_fnr,0.0025622144886694766,-0.0013427918256642517,0.005978552682263495
gss_adapted,initial_fpr,0.02309609190718858,0.022473508271204135,0.02370465520853146
gss_adapted,final_fpr,0.02254571762458079,0.0219913573297076,0.02316212649139246
gss_adapted,delta_fpr,-0.000550374282607791,-0.0009923530116951172,1.4642313840946029e-05
cgsm_dual,initial_fnr,0.07797581055520134,0.07493310010168064,0.08127713778541366
cgsm_dual,final_fnr,0.08305425830107502,0.08014214121198751,0.08584723307955255
cgsm_dual,delta_fnr,0.005078447745873688,0.0004664186851516775,0.01006329784570209
cgsm_dual,initial_fpr,0.023361699893783207,0.022894817475007722,0.02395706326341639
cgsm_dual,final_fpr,0.023501653562118,0.022998917696563856,0.024022006575194616
cgsm_dual,delta_fpr,0.00013995366833479225,-0.0007210991992925189,0.0008892360752694651
dualls_adapted,initial_fnr,0.07994096536611667,0.07823363884181064,0.08152813262128208
dualls_adapted,final_fnr,0.08037538495456928,0.07782131835578582,0.08322560306436295
dualls_adapted,delta_fnr,0.00043441958845262703,-0.0022252671959187512,0.002989430458195755
dualls_adapted,initial_fpr,0.022823912688718778,0.02245121728803448,0.023122894831683886
dualls_adapted,final_fpr,0.022859603852566874,0.02216951327466972,0.02361188914405305
dualls_adapted,delta_fpr,3.56911638480976e-05,-0.0006058333698541333,0.0007090815514440174
