method,seed,threshold,overall,cpa,matched,cpa_minus_overall,cpa_minus_matched
cgsm_dual,7,0.5,-0.2906296587258578,-0.3602556472828094,-0.34096518087727523,-0.06962598855695164,-0.019290466405534133
cgsm_dual,7,1.0,-0.2906296587258578,-0.2938516795045819,-0.31864331840024673,-0.003222020778724172,0.024791638895664842
cgsm_dual,7,1.5,-0.2906296587258578,-0.30344225372743344,-0.31369873359357486,-0.012812595001575727,0.010256479866141411
cgsm_dual,7,2.0,-0.2906296587258578,-0.31510643292602725,-0.3135195307594517,-0.024476774200169464,-0.0015869021665754657
cgsm_dual,11,0.5,-0.29844335717856885,-0.5357257986678038,-0.3776485433037874,-0.23728244148923489,-0.1580772553640164
cgsm_dual,11,1.0,-0.29844335717856885,-0.39435616561671283,-0.3322208279802969,-0.09591280843814401,-0.062135337636415953
cgsm_dual,11,1.5,-0.29844335717856885,-0.37805556379156885,-0.3189432806022502,-0.07961220661300003,-0.0591122831893187
cgsm_dual,11,2.0,-0.29844335717856885,-0.3653612934364661,-0.32270985313596035,-0.0669179362578973,-0.042651440300505786
cgsm_dual,23,0.5,-0.1577840863801539,-0.2794884728626869,-0.2532569485497461,-0.12170438648253304,-0.026231524312940808
cgsm_dual,23,1.0,-0.1577840863801539,-0.19808387424692392,-0.19628708296482175,-0.040299787866770034,-0.0017967912821021796
cgsm_dual,23,1.5,-0.1577840863801539,-0.21980908280514103,-0.18828609207502103,-0.0620249964249871,-0.03152299073011996
cgsm_dual,23,2.0,-0.1577840863801539,-0.24162863209134294,-0.1858072437600303,-0.08384454571118907,-0.05582138833131265
cgsm_dual,47,0.5,-0.32371833509504794,-0.16348023781471605,-0.34933449342627226,0.16023809728033192,0.1858542556115562
cgsm_dual,47,1.0,-0.32371833509504794,-0.19975506503790372,-0.3250265674409526,0.1239632700571442,0.12527150240304882
cgsm_dual,47,1.5,-0.32371833509504794,-0.29058266026473895,-0.32583677129847777,0.03313567483030897,0.03525411103373879
cgsm_dual,47,2.0,-0.32371833509504794,-0.33024604213784103,-0.3304049165163267,-0.006527707042793107,0.00015887437848568497
cgsm_dual,59,0.5,-0.20999029160588983,-0.3351298102843803,-0.25479872508248624,-0.12513951867849055,-0.08033108520189407
cgsm_dual,59,1.0,-0.20999029160588983,-0.2229339804074058,-0.22962250118260702,-0.012943688801516001,0.006688520775201184
cgsm_dual,59,1.5,-0.20999029160588983,-0.2207586300325802,-0.22806814592640823,-0.010768338426690404,0.007309515893828
cgsm_dual,59,2.0,-0.20999029160588983,-0.21807070368723186,-0.22369924569676963,-0.008080412081342058,0.005628542009537796
cgsm_dual,71,0.5,-0.16163586623668671,-0.20794969528922488,-0.17046232518912902,-0.04631382905253819,-0.03748737010009588
