method,seed,task,threshold,overall,cpa,matched,cpa_minus_overall,cpa_minus_matched
finetune,7,baseline,0.5,7.850540060922503,13.626017377587432,7.9645086601323145,5.775477316664929,5.661508717455118
finetune,7,baseline,1.0,7.850540060922503,11.010430844217169,7.971233587560684,3.1598907832946654,3.039197256656484
finetune,7,baseline,1.5,7.850540060922503,10.140505773535322,7.98827028714213,2.289965712612819,2.1522354863931925
finetune,7,baseline,2.0,7.850540060922503,9.508841508360051,7.9771451993662525,1.6583014474375481,1.5316963089937987
finetune,11,baseline,0.5,18.627272356867792,22.199064240989273,18.679851779068034,3.571791884121481,3.5192124619212386
finetune,11,baseline,1.0,18.627272356867792,20.561974437892637,18.687612701526888,1.9347020810248452,1.8743617363657492
finetune,11,baseline,1.5,18.627272356867792,20.216219242642126,18.76612244615817,1.5889468857743339,1.4500967964839546
finetune,11,baseline,2.0,18.627272356867792,19.792574419318832,18.76024589065995,1.1653020624510404,1.0323285286588835
finetune,23,baseline,0.5,11.736808467164636,14.151824489182083,11.821952755682709,2.415016022017447,2.329871733499374
finetune,23,baseline,1.0,11.736808467164636,12.76921868418357,11.732484365355631,1.0324102170189349,1.0367343188279392
finetune,23,baseline,1.5,11.736808467164636,12.537170166708195,11.771007224774351,0.8003616995435596,0.7661629419338443
finetune,23,baseline,2.0,11.736808467164636,12.127672847293066,11.767245520880945,0.3908643801284306,0.36042732641212183
finetune,47,baseline,0.5,6.922497689247131,10.621511964268633,6.8359622002305205,3.6990142750215016,3.7855497640381124
finetune,47,baseline,1.0,6.922497689247131,8.747581442219563,6.8517026949680355,1.8250837529724313,1.895878747251527
finetune,47,baseline,1.5,6.922497689247131,8.277746177019294,6.948574361750631,1.3552484877721627,1.329171815268663
finetune,47,baseline,2.0,6.922497689247131,7.81769524286417,6.951549472757205,0.8951975536170389,0.8661457701069653
finetune,59,baseline,0.5,10.309609429761768,16.007237224479876,10.572218520395948,5.697627794718109,5.435018704083928
finetune,59,baseline,1.0,10.309609429761768,13.65371206147426,10.564966266476633,3.3441026317124933,3.088745794997628
finetune,59,baseline,1.5,10.309609429761768,12.776869421828158,10.530518439056266,2.4672599920663902,2.246350982771892
finetune,59,baseline,2.0,10.309609429761768,12.204701102842801,10.525957281421684,1.8950916730810334,1.6787438214211168
finetune,71,baseline,0.5,9.335515867814422,14.849445675577067,9.52162068512001,5.513929807762645,5.327824990457058
finetune,71,baseline,1.0,9.335515867814422,12.201900231193125,9.442052623987276,2.866384363378703,2.759847607205849
finetune,71,baseline,1.5,9.335515867814422,11.41013252419458,9.440356596875702,2.074616656380158,1.969775927318878
finetune,71,baseline,2.0,9.335515867814422,10.812440756260646,9.41253225866283,1.4769248884462236,1.3999084975978153
finetune,89,baseline,0.5,12.7368464724198,17.01530605188776,12.8342655687199,4.27845957946796,4.181040483167859
finetune,89,baseline,1.0,12.7368464724198,15.379392503818503,12.816967178115933,2.6425460313987035,2.56242532570257
finetune,89,baseline,1.5,12.7368464724198,14.8496210567078,12.825327952342107,2.112774584288001,2.024293104365693
finetune,89,baseline,2.0,12.7368464724198,14.371094762014762,12.822840527544889,1.6342482895949626,1.5482542344698729
finetune,107,baseline,0.5,3.5430087298825383,8.868707373442417,3.5792151408231185,5.325698643559878,5.289492232619299
finetune,107,baseline,1.0,3.5430087298825383,6.48384876851635,3.6118914377228686,2.940840038633812,2.8719573307934816
finetune,107,baseline,1.5,3.5430087298825383,5.469060861002286,3.612587280778737,1.9260521311197478,1.856473580223549
finetune,107,baseline,2.0,3.5430087298825383,4.853348456106594,3.581043600987412,1.3103397262240555,1.2723048551191818
reservoir,7,baseline,0.5,0.3094001135379076,0.7694322330749422,0.18231484180459834,0.46003211953703466,0.5871173912703439
reservoir,7,baseline,1.0,0.3094001135379076,0.44730660917390697,0.2444918330657178,0.13790649563599938,0.20281477610818915
reservoir,7,baseline,1.5,0.3094001135379076,0.5242673193691448,0.3109391337234965,0.21486720583123725,0.21332818564564832
reservoir,7,baseline,2.0,0.3094001135379076,0.4302345413863893,0.31501702582202945,0.1208344278484817,0.11521751556435983
reservoir,11,baseline,0.5,0.9578209414035082,2.7462835489412507,0.9784203319693964,1.7884626075377426,1.7678632169718544
reservoir,11,baseline,1.0,0.9578209414035082,1.722780891510384,0.9634112688413403,0.7649599501068758,0.7593696226690436
reservoir,11,baseline,1.5,0.9578209414035082,1.4945878010356877,0.9886015385226072,0.5367668596321795,0.5059862625130804
reservoir,11,baseline,2.0,0.9578209414035082,1.3327978045239939,0.9847778570188475,0.3749768631204857,0.3480199475051464
reservoir,23,baseline,0.5,-0.5112621717453003,-0.7381484741983861,-0.7949544700904264,-0.22688630245308583,0.05680599589204027
reservoir,23,baseline,1.0,-0.5112621717453003,-0.5718740014844441,-0.5245592712272023,-0.06061182973914381,-0.047314730257241866
reservoir,23,baseline,1.5,-0.5112621717453003,-0.5521967649406334,-0.48633670087526004,-0.0409345931953331,-0.06586006406537337
reservoir,23,baseline,2.0,-0.5112621717453003,-0.5980334861580069,-0.4756916629048359,-0.08677131441270658,-0.122341823253171
reservoir,47,baseline,0.5,-0.20856627881526946,-0.3190339784329549,-0.38184164089227907,-0.11046769961768543,0.06280766245932418
reservoir,47,baseline,1.0,-0.20856627881526946,-0.21883135469548462,-0.2659768016991874,-0.010265075880215163,0.047145447003702795
reservoir,47,baseline,1.5,-0.20856627881526946,-0.14004836663523526,-0.22682185536475968,0.0685179121800342,0.08677348872952442
reservoir,47,baseline,2.0,-0.20856627881526946,-0.20323860626565315,-0.2201218823877927,0.005327672549616302,0.01688327612213955
reservoir,59,baseline,0.5,0.09278190842270852,-0.17981957603878063,0.026425625036224257,-0.27260148446148913,-0.20624520107500488
reservoir,59,baseline,1.0,0.09278190842270852,-0.25420233708089207,0.11884651234944382,-0.3469842455036006,-0.3730488494303359
reservoir,59,baseline,1.5,0.09278190842270852,-0.09582793961414529,0.14570941855735633,-0.18860984803685382,-0.24153735817150163
reservoir,59,baseline,2.0,0.09278190842270852,-0.05922638595057395,0.1428289200021981,-0.15200829437328248,-0.20205530595277205
reservoir,71,baseline,0.5,1.012819450467825,1.9330747837086446,0.9496823758055133,0.9202553332408197,0.9833924079031313
reservoir,71,baseline,1.0,1.012819450467825,1.499738462109711,0.9852855145870868,0.486919011641886,0.5144529475226242
reservoir,71,baseline,1.5,1.012819450467825,1.4014102515080673,1.0206656085732737,0.38859080104024235,0.3807446429347936
reservoir,71,baseline,2.0,1.012819450467825,1.242444032280818,1.0233370960777202,0.22962458181299295,0.21910693620309774
reservoir,89,baseline,0.5,-0.09902775820344686,0.3461865763371602,-0.20240573492748568,0.4452143345406071,0.5485923112646459
reservoir,89,baseline,1.0,-0.09902775820344686,0.07043211321685602,-0.09547883804013851,0.1694598714203029,0.16591095125699454
reservoir,89,baseline,1.5,-0.09902775820344686,-0.036251405892723125,-0.07561820616350107,0.06277635231072373,0.03936680027077794
reservoir,89,baseline,2.0,-0.09902775820344686,-0.10321337981946994,-0.07184915234914611,-0.00418562161602308,-0.03136422747032383
reservoir,107,baseline,0.5,-0.9116357543691993,-1.2651245086470666,-1.1525992191554248,-0.3534887542778673,-0.11252528949164176
reservoir,107,baseline,1.0,-0.9116357543691993,-1.1592112366517475,-0.9941117465679464,-0.24757548228254822,-0.1650994900838011
reservoir,107,baseline,1.5,-0.9116357543691993,-1.0800068364135882,-0.9309619884318111,-0.1683710820443889,-0.14904484798177708
reservoir,107,baseline,2.0,-0.9116357543691993,-1.131863417734523,-0.9390671234072837,-0.22022766336532373,-0.19279629432723933
gss_adapted,7,baseline,0.5,-0.43771967706829307,-0.657051807921716,-0.4871157820503813,-0.21933213085342296,-0.16993602587133472
gss_adapted,7,baseline,1.0,-0.43771967706829307,-0.5743874879270422,-0.44753521110571637,-0.13666781085874913,-0.12685227682132583
gss_adapted,7,baseline,1.5,-0.43771967706829307,-0.4789382692299369,-0.4130015720729682,-0.04121859216164381,-0.06593669715696865
gss_adapted,7,baseline,2.0,-0.43771967706829307,-0.48263057532595166,-0.41024156512270415,-0.044910898257658594,-0.0723890102032475
gss_adapted,11,baseline,0.5,-0.297739235535264,-0.5496692232491738,-0.36598692571988756,-0.2519299877139098,-0.18368229752928622
gss_adapted,11,baseline,1.0,-0.297739235535264,-0.34227947821880544,-0.2538394825365765,-0.04454024268354145,-0.08843999568222893
gss_adapted,11,baseline,1.5,-0.297739235535264,-0.3130868711848233,-0.25221921300750755,-0.015347635649559321,-0.060867658177315764
gss_adapted,11,baseline,2.0,-0.297739235535264,-0.31341049843010527,-0.24679811844149116,-0.015671262894841276,-0.0666123799886141
gss_adapted,23,baseline,0.5,-0.8699116237610579,-1.1905919616295542,-1.0585211794250404,-0.32068033786849626,-0.13207078220451374
gss_adapted,23,baseline,1.0,-0.8699116237610579,-1.0023949811867152,-0.8855962277225213,-0.1324833574256573,-0.11679875346419388
gss_adapted,23,baseline,1.5,-0.8699116237610579,-0.9416294080778769,-0.8585637555662562,-0.07171778431681897,-0.08306565251162068
gss_adapted,23,baseline,2.0,-0.8699116237610579,-0.9413608164180477,-0.8553601056824218,-0.07144919265698979,-0.08600071073562587
gss_adapted,47,baseline,0.5,-0.17196655586361886,-0.36966124198496986,-0.2112722093017785,-0.197694686121351,-0.15838903268319135
gss_adapted,47,baseline,1.0,-0.17196655586361886,-0.17244542834455023,-0.13271949632374133,-0.00047887248093136936,-0.0397259320208089
gss_adapted,47,baseline,1.5,-0.17196655586361886,-0.13021572134867176,-0.13415583828486935,0.0417508345149471,0.003940116936197585
gss_adapted,47,baseline,2.0,-0.17196655586361886,-0.15687929867574388,-0.13359410220024498,0.015087257187874986,-0.023285196475498898
gss_adapted,59,baseline,0.5,0.28245933935046197,-0.16524655315419828,0.18649648203316707,-0.44770589250466025,-0.3517430351873654
gss_adapted,59,baseline,1.0,0.28245933935046197,0.2663583322401918,0.29348044708768706,-0.016101007110270182,-0.02712211484749527
gss_adapted,59,baseline,1.5,0.28245933935046197,0.41529083671967904,0.316776089453855,0.13283149736921707,0.09851474726582404
gss_adapted,59,baseline,2.0,0.28245933935046197,0.41988460259557425,0.32311961832082986,0.13742526324511228,0.09676498427474439
gss_adapted,71,baseline,0.5,0.005611046269536018,-0.3468746257818133,-0.020369017971874223,-0.3524856720513493,-0.32650560780993904
gss_adapted,71,baseline,1.0,0.005611046269536018,-0.1568385492653293,0.007905691744762681,-0.16244959553486532,-0.164744241010092
gss_adapted,71,baseline,1.5,0.005611046269536018,-0.06607184763763709,0.029140494672787006,-0.0716828939071731,-0.0952123423104241
gss_adapted,71,baseline,2.0,0.005611046269536018,-0.11177605561449691,0.02710949043233149,-0.11738710188403292,-0.1388855460468284
gss_adapted,89,baseline,0.5,-0.4631685724928975,-0.7977924425464245,-0.5321574137901787,-0.33462387005352695,-0.2656350287562458
gss_adapted,89,baseline,1.0,-0.4631685724928975,-0.6097207452761684,-0.47897253296989784,-0.14655217278327087,-0.13074821230627054
gss_adapted,89,baseline,1.5,-0.4631685724928975,-0.5353444293275128,-0.46395016530099153,-0.0721758568346153,-0.07139426402652127
gss_adapted,89,baseline,2.0,-0.4631685724928975,-0.5447955887943202,-0.4564743040575299,-0.08162701630142272,-0.0883212847367903
gss_adapted,107,baseline,0.5,0.23099359302967787,0.22256585151387465,0.14629252383431618,-0.008427741515803222,0.07627332767955847
gss_adapted,107,baseline,1.0,0.23099359302967787,0.3533669229189465,0.23017353083574518,0.12237332988926863,0.12319339208320132
gss_adapted,107,baseline,1.5,0.23099359302967787,0.3937378507140937,0.24871353677745853,0.1627442576844158,0.14502431393663515
gss_adapted,107,baseline,2.0,0.23099359302967787,0.37405737254765686,0.24514476176140798,0.143063779517979,0.12891261078624888
cgsm_dual,7,baseline,0.5,-0.40660695265233515,-0.8101830828921459,-0.4777372352911336,-0.40357613023981076,-0.3324458476010123
cgsm_dual,7,baseline,1.0,-0.40660695265233515,-0.6374667743147427,-0.4190691546882226,-0.2308598216624076,-0.21839761962652016
cgsm_dual,7,baseline,1.5,-0.40660695265233515,-0.47134833447167007,-0.3912294034097403,-0.06474138181933492,-0.0801189310619298
