method,threshold,metric,n_seeds,mean,ci_low,ci_high
finetune,0.5,overall,8,19.4684287722433,16.38813610276459,22.82559327914884
finetune,0.5,cpa,8,25.47893134537636,22.788254091887943,28.34636843282307
finetune,0.5,matched,8,19.792869435338417,16.72203457941893,23.142795592204976
finetune,0.5,cpa_minus_overall,8,6.010502573133061,5.287674959923132,6.752090390583639
finetune,0.5,cpa_minus_matched,8,5.686061910037943,5.009658160861836,6.392611610470785
finetune,1.0,overall,8,19.4684287722433,16.38813610276459,22.82559327914884
finetune,1.0,cpa,8,23.20826041539959,20.29858349467378,26.369911955341195
finetune,1.0,matched,8,19.803116395905484,16.72027996474015,23.15328792743824
finetune,1.0,cpa_minus_overall,8,3.739831643156292,3.3040191076194767,4.148980745805144
finetune,1.0,cpa_minus_matched,8,3.4051440194941085,2.997804263879611,3.788503200171817
finetune,1.5,overall,8,19.4684287722433,16.38813610276459,22.82559327914884
finetune,1.5,cpa,8,22.052623219720317,19.06782441992973,25.30588944116342
finetune,1.5,matched,8,19.733717018029033,16.64768470776194,23.09669748040124
finetune,1.5,cpa_minus_overall,8,2.584194447477019,2.2707800841481767,2.861652691232963
finetune,1.5,cpa_minus_matched,8,2.3189062016912865,2.026722220945415,2.5806626177534953
finetune,2.0,overall,8,19.4684287722433,16.38813610276459,22.82559327914884
finetune,2.0,cpa,8,21.470100674282225,18.44725727151276,24.749986305436405
finetune,2.0,matched,8,19.687724424634993,16.599113522371564,23.05113808459492
finetune,2.0,cpa_minus_overall,8,2.0016719020389258,1.7357494720089073,2.2292633124989853
finetune,2.0,cpa_minus_matched,8,1.7823762496472306,1.5375598060805806,1.9897844969263845
reservoir,0.5,overall,8,0.1501406143510714,-0.06262285363431087,0.3861202604701742
reservoir,0.5,cpa,8,0.5051976931385332,0.1483236800912591,0.9131349756275777
reservoir,0.5,matched,8,0.08328890423216287,-0.14432189657750247,0.33022809452538704
reservoir,0.5,cpa_minus_overall,8,0.3550570787874618,0.152252426700196,0.6260024594682512
reservoir,0.5,cpa_minus_matched,8,0.4219087889063704,0.23308229489242416,0.6671566001613923
reservoir,1.0,overall,8,0.1501406143510714,-0.06262285363431087,0.3861202604701742
reservoir,1.0,cpa,8,0.32159966283178,0.03213733940877304,0.6251420792655221
reservoir,1.0,matched,8,0.12039621081198337,-0.09778313525530155,0.36026906144751136
reservoir,1.0,cpa_minus_overall,8,0.1714590484807086,0.057180946574848575,0.3086876930063057
reservoir,1.0,cpa_minus_matched,8,0.2012034520197966,0.0932642934213485,0.3259172048348657
reservoir,1.5,overall,8,0.1501406143510714,-0.06262285363431087,0.3861202604701742
reservoir,1.5,cpa,8,0.25591292697623447,-0.007695788097921781,0.5304421565913987
reservoir,1.5,matched,8,0.13607322313271275,-0.0808325562267682,0.37449080056194034
reservoir,1.5,cpa_minus_overall,8,0.10577231262516304,0.03395653443319517,0.1940061042694865
reservoir,1.5,cpa_minus_matched,8,0.11983970384352169,0.05173237513187794,0.20012171992739275
