task,threshold,n,cpa_n,fraction
baseline,0.5,2000,554,0.277
baseline,1.0,2000,887,0.4435
baseline,1.5,2000,1114,0.557
baseline,2.0,2000,1273,0.6365
wind5,0.5,2000,628,0.314
wind5,1.0,2000,986,0.493
wind5,1.5,2000,1221,0.6105
wind5,2.0,2000,1409,0.7045
speed15,0.5,2000,412,0.206
speed15,1.0,2000,702,0.351
speed15,1.5,2000,920,0.46
speed15,2.0,2000,1089,0.5445
alt180,0.5,2000,511,0.2555
alt180,1.0,2000,802,0.401
alt180,1.5,2000,1027,0.5135
alt180,2.0,2000,1199,0.5995
speed10,0.5,2000,382,0.191
speed10,1.0,2000,674,0.337
speed10,1.5,2000,932,0.466
speed10,2.0,2000,1135,0.5675
