method,seed,learn_step,learn_task,eval_task_index,eval_task,n,cpa_n,fde,risk_fde,train_seconds
finetune,7,0,MA,0,MA,1178,126,2.5815088748931885,2.5621955394744877,38.964398699987214
finetune,7,1,FT,0,MA,1178,126,4.699892520904541,3.6554245948791504,41.541248099994846
finetune,7,1,FT,1,FT,2452,138,2.81719970703125,2.9266061782836914,41.541248099994846
finetune,7,2,LN,0,MA,1178,126,5.578339576721191,4.196430206298828,43.86749560001772
finetune,7,2,LN,1,FT,2452,138,3.371542692184448,3.259617567062378,43.86749560001772
finetune,7,2,LN,2,LN,238,6,1.945441961288452,3.995539426803589,43.86749560001772
finetune,7,3,ZS2,0,MA,1178,126,4.857207775115967,3.957026720046997,116.84013940003932
finetune,7,3,ZS2,1,FT,2452,138,4.445727825164795,4.82151460647583,116.84013940003932
finetune,7,3,ZS2,2,LN,238,6,4.175797939300537,5.661064624786377,116.84013940003932
finetune,7,3,ZS2,3,ZS2,1043,276,1.149548888206482,1.0705054998397827,116.84013940003932
finetune,7,4,OF,0,MA,1178,126,5.290798664093018,3.872301816940308,118.93772350001382
finetune,7,4,OF,1,FT,2452,138,4.366820812225342,4.435203075408936,118.93772350001382
finetune,7,4,OF,2,LN,238,6,3.149097442626953,3.8064157962799072,118.93772350001382
finetune,7,4,OF,3,ZS2,1043,276,2.462348461151123,2.2647416591644287,118.93772350001382
finetune,7,4,OF,4,OF,568,28,2.967876672744751,1.8088243007659912,118.93772350001382
finetune,7,5,EP0,0,MA,1178,126,4.5068464279174805,3.383023262023926,126.65892590000294
finetune,7,5,EP0,1,FT,2452,138,4.172985553741455,4.057072162628174,126.65892590000294
finetune,7,5,EP0,2,LN,238,6,3.1170897483825684,4.462599754333496,126.65892590000294
finetune,7,5,EP0,3,ZS2,1043,276,2.81196403503418,1.7747398614883425,126.65892590000294
finetune,7,5,EP0,4,OF,568,28,4.283115863800049,3.3988678455352783,126.65892590000294
finetune,7,5,EP0,5,EP0,556,106,1.5149585008621216,1.672168254852295,126.65892590000294
finetune,7,6,GL,0,MA,1178,126,2.8887436389923096,2.8112947940826416,144.1541215000325
finetune,7,6,GL,1,FT,2452,138,3.8028993606567374,3.4073002338409424,144.1541215000325
finetune,7,6,GL,2,LN,238,6,3.740033864974976,4.92293119430542,144.1541215000325
finetune,7,6,GL,3,ZS2,1043,276,3.5061960220336914,2.2772104740142822,144.1541215000325
finetune,7,6,GL,4,OF,568,28,5.487976551055908,4.884461879730225,144.1541215000325
finetune,7,6,GL,5,EP0,556,106,2.818542242050171,2.7278494834899902,144.1541215000325
finetune,7,6,GL,6,GL,3050,241,1.8161498308181765,1.8433061838150024,144.1541215000325
finetune,7,7,ZS0,0,MA,1178,126,4.8805131912231445,3.8355460166931152,127.30306810000911
finetune,7,7,ZS0,1,FT,2452,138,4.193780899047852,4.480501651763916,127.30306810000911
finetune,7,7,ZS0,2,LN,238,6,4.239777565002441,4.648622035980225,127.30306810000911
finetune,7,7,ZS0,3,ZS2,1043,276,3.333387851715088,1.779370903968811,127.30306810000911
finetune,7,7,ZS0,4,OF,568,28,5.739783763885498,5.86688232421875,127.30306810000911
finetune,7,7,ZS0,5,EP0,556,106,2.2313029766082764,2.4014370441436768,127.30306810000911
finetune,7,7,ZS0,6,GL,3050,241,2.954612493515014,2.790874719619751,127.30306810000911
finetune,7,7,ZS0,7,ZS0,1084,2,1.027987718582153,1.3364540338516235,127.30306810000911
finetune,11,0,MA,0,MA,1178,126,2.532744884490967,2.373590469360352,118.52067189995432
finetune,11,1,FT,0,MA,1178,126,4.501283168792725,3.441655397415161,122.9809848999721
finetune,11,1,FT,1,FT,2452,138,2.5307986736297607,2.7044336795806885,122.9809848999721
finetune,11,2,LN,0,MA,1178,126,6.191428184509277,4.718720436096191,131.7261193000013
finetune,11,2,LN,1,FT,2452,138,3.9457952976226807,3.301283597946167,131.7261193000013
finetune,11,2,LN,2,LN,238,6,2.192984104156494,3.5076122283935547,131.7261193000013
finetune,11,3,ZS2,0,MA,1178,126,5.395177841186523,4.344411373138428,142.5450533000403
finetune,11,3,ZS2,1,FT,2452,138,4.617440700531006,4.7941107749938965,142.5450533000403
finetune,11,3,ZS2,2,LN,238,6,4.106743335723877,4.940240859985352,142.5450533000403
