method_a,method_b,contrast,metric,n_seeds,mean,ci_low,ci_high,interpretation
finetune,reservoir,a-minus-b,final_fde,4,1.445010919123888,1.3270306754857302,1.5313621312379837,descriptive paired seed interval; no multiplicity adjustment
finetune,reservoir,a-minus-b,final_cpa_fde,4,1.1024037394672632,1.02149223163724,1.152772719040513,descriptive paired seed interval; no multiplicity adjustment
finetune,reservoir,a-minus-b,ordinary_forgetting,4,1.6348917910030911,1.5076876878738406,1.7334951588085719,descriptive paired seed interval; no multiplicity adjustment
finetune,reservoir,a-minus-b,cpa_forgetting,4,1.2559741927044732,1.120251702410834,1.4021298651184355,descriptive paired seed interval; no multiplicity adjustment
finetune,reservoir,a-minus-b,gap,4,-0.3789175982986178,-0.4506914062159404,-0.30845302130494795,descriptive paired seed interval; no multiplicity adjustment
finetune,gss_adapted,a-minus-b,final_fde,4,1.2686936501413584,1.1630810350179672,1.3894541598856442,descriptive paired seed interval; no multiplicity adjustment
finetune,gss_adapted,a-minus-b,final_cpa_fde,4,1.1033394951373339,1.0016688350588079,1.1591509133577347,descriptive paired seed interval; no multiplicity adjustment
finetune,gss_adapted,a-minus-b,ordinary_forgetting,4,1.4192952939442227,1.302984016282218,1.5356065716062277,descriptive paired seed interval; no multiplicity adjustment
finetune,gss_adapted,a-minus-b,cpa_forgetting,4,1.2651607245206835,1.2052633123738428,1.3250581366675243,descriptive paired seed interval; no multiplicity adjustment
finetune,gss_adapted,a-minus-b,gap,4,-0.15413456942353942,-0.2746909643922533,-0.033578174454825555,descriptive paired seed interval; no multiplicity adjustment
finetune,cgsm_dual,a-minus-b,final_fde,4,1.3577659949660301,1.2667851205915213,1.4204838592559104,descriptive paired seed interval; no multiplicity adjustment
finetune,cgsm_dual,a-minus-b,final_cpa_fde,4,1.1759926993399858,1.1166524253785612,1.2421257346868515,descriptive paired seed interval; no multiplicity adjustment
finetune,cgsm_dual,a-minus-b,ordinary_forgetting,4,1.4939540454319546,1.344019753592355,1.6394012655530656,descriptive paired seed interval; no multiplicity adjustment
finetune,cgsm_dual,a-minus-b,cpa_forgetting,4,1.3280227929353714,1.1696935423782893,1.4616393170186452,descriptive paired seed interval; no multiplicity adjustment
finetune,cgsm_dual,a-minus-b,gap,4,-0.16593125249658325,-0.1868851631879806,-0.140040444476264,descriptive paired seed interval; no multiplicity adjustment
reservoir,gss_adapted,a-minus-b,final_fde,4,-0.17631726898252975,-0.29972596280276775,-0.08793433383107208,descriptive paired seed interval; no multiplicity adjustment
reservoir,gss_adapted,a-minus-b,final_cpa_fde,4,0.0009357556700704261,-0.15054052323102984,0.1271431446075436,descriptive paired seed interval; no multiplicity adjustment
reservoir,gss_adapted,a-minus-b,ordinary_forgetting,4,-0.21559649705886832,-0.35681228978293283,-0.09190636021750298,descriptive paired seed interval; no multiplicity adjustment
reservoir,gss_adapted,a-minus-b,cpa_forgetting,4,0.009186531816210201,-0.1591636666229793,0.1072061359882357,descriptive paired seed interval; no multiplicity adjustment
reservoir,gss_adapted,a-minus-b,gap,4,0.22478302887507842,0.06307736464909139,0.42526249374662106,descriptive paired seed interval; no multiplicity adjustment
reservoir,cgsm_dual,a-minus-b,final_fde,4,-0.08724492415785778,-0.1453331261873243,-0.029156722128391266,descriptive paired seed interval; no multiplicity adjustment
reservoir,cgsm_dual,a-minus-b,final_cpa_fde,4,0.07358895987272263,1.2438744306786376e-05,0.1446150019764898,descriptive paired seed interval; no multiplicity adjustment
reservoir,cgsm_dual,a-minus-b,ordinary_forgetting,4,-0.14093774557113642,-0.1879636815616063,-0.07118162087031765,descriptive paired seed interval; no multiplicity adjustment
reservoir,cgsm_dual,a-minus-b,cpa_forgetting,4,0.07204860023089818,0.0369026916367667,0.10719450882502965,descriptive paired seed interval; no multiplicity adjustment
reservoir,cgsm_dual,a-minus-b,gap,4,0.21298634580203463,0.13069107277052747,0.2951581903866358,descriptive paired seed interval; no multiplicity adjustment
gss_adapted,cgsm_dual,a-minus-b,final_fde,4,0.08907234482467197,-0.006672251969575549,0.17093807458877586,descriptive paired seed interval; no multiplicity adjustment
gss_adapted,cgsm_dual,a-minus-b,final_cpa_fde,4,0.0726532042026522,0.0003659874200820923,0.1449404209852223,descriptive paired seed interval; no multiplicity adjustment
gss_adapted,cgsm_dual,a-minus-b,ordinary_forgetting,4,0.07465875148773188,-0.07401276486260555,0.2233302678380693,descriptive paired seed interval; no multiplicity adjustment
gss_adapted,cgsm_dual,a-minus-b,cpa_forgetting,4,0.06286206841468797,-0.06357469303267357,0.22448351553508206,descriptive paired seed interval; no multiplicity adjustment
gss_adapted,cgsm_dual,a-minus-b,gap,4,-0.01179668307304381,-0.13728997537067955,0.11369660922459195,descriptive paired seed interval; no multiplicity adjustment
