method,metric,mean,ci_low,ci_high
finetune,cpa_minus_50bin,3.031181299028603,2.6767830987395644,3.364480878785288
finetune,cpa_minus_nearest_non_cpa,5.6816364268092325,5.02287785027465,6.329579083496052
finetune,initial_50bin_residual,0.016889111743539464,0.012694376030390454,0.020115642798644372
finetune,initial_nearest_residual,0.0512918867534384,0.04828968669168544,0.054128193206122166
finetune,nearest_initial_mae,0.15071709911124187,0.14794846731016892,0.1540222649514338
reservoir,cpa_minus_50bin,0.18251545514302717,0.08549346650952706,0.30080361371112807
reservoir,cpa_minus_nearest_non_cpa,0.32155560688954044,0.11089849919717909,0.5725222214411572
reservoir,initial_50bin_residual,0.018343757198485557,0.012875686938563646,0.02428345238561455
reservoir,initial_nearest_residual,0.053037451196713624,0.05033025895959205,0.056013864182654034
reservoir,nearest_initial_mae,0.1528177220448547,0.1483136687719841,0.15734371010608827
gss_adapted,cpa_minus_50bin,0.026899359613955655,-0.011513941095299697,0.0647788919691741
gss_adapted,cpa_minus_nearest_non_cpa,0.0029997971116921193,-0.08414049008600363,0.09158346704616746
gss_adapted,initial_50bin_residual,0.011859427286040126,0.007268408302321383,0.016243907605341716
gss_adapted,initial_nearest_residual,0.05235539647115753,0.04872556412141284,0.05630443547277672
gss_adapted,nearest_initial_mae,0.15163535546506596,0.1499233491663456,0.15356189835959744
cgsm_dual,cpa_minus_50bin,0.01357536775137264,-0.018798256737519618,0.04885288129727022
cgsm_dual,cpa_minus_nearest_non_cpa,-0.021403448830650266,-0.09313058990792211,0.05053965712637509
cgsm_dual,initial_50bin_residual,0.010515384329274548,0.004872745450163673,0.01610046234097
cgsm_dual,initial_nearest_residual,0.05307376638270645,0.048292536317299475,0.05799887111510938
cgsm_dual,nearest_initial_mae,0.1549722271275778,0.15079440584199588,0.15951669622365275
dualls_adapted,cpa_minus_50bin,0.035293092657681636,0.008945574824504518,0.06233500771587002
dualls_adapted,cpa_minus_nearest_non_cpa,0.021888737944066386,-0.05192042603395228,0.09736444217441464
dualls_adapted,initial_50bin_residual,0.017992320631562198,0.01414416280200479,0.022705778085600814
dualls_adapted,initial_nearest_residual,0.051799553680325065,0.04795106987950422,0.05509965008041757
dualls_adapted,nearest_initial_mae,0.15210978204107828,0.1474210214655552,0.15720479917446847
