method,seed,overall,cpa,random,matched,cpa_minus_overall,cpa_minus_random,cpa_minus_matched
cgsm_dual,7,-0.2906296587258578,-0.2938516795045819,-0.3030150368246873,-0.31864331840024673,-0.003222020778724172,0.009163357320105392,0.024791638895664842
cgsm_dual,11,-0.29844335717856885,-0.39435616561671283,-0.29743676142870706,-0.3322208279802969,-0.09591280843814401,-0.09691940418800582,-0.062135337636415953
cgsm_dual,23,-0.1577840863801539,-0.19808387424692392,-0.17621395332430528,-0.19628708296482175,-0.040299787866770034,-0.021869920922618646,-0.0017967912821021796
cgsm_dual,47,-0.32371833509504794,-0.19975506503790372,-0.31815083713172254,-0.3250265674409526,0.1239632700571442,0.1183957720938188,0.12527150240304882
cgsm_dual,59,-0.20999029160588983,-0.2229339804074058,-0.2234520104611985,-0.22962250118260702,-0.012943688801516001,0.0005180300537927229,0.006688520775201184
cgsm_dual,71,-0.16163586623668671,-0.0765406045671517,-0.14349987095426786,-0.1428132611416369,0.08509526166953502,0.06695926638711619,0.06627265657448522
cgsm_dual,89,-0.07998877597004175,-0.03874610812485418,-0.09300449439746301,-0.10507743290089203,0.04124266784518757,0.05425838627260883,0.06633132477603783
cgsm_dual,107,-0.09571452680528163,-0.051392076076860305,-0.09564501824857088,-0.10146935022692834,0.044322450728421336,0.044252942171710566,0.05007727415006804
dualls_adapted,7,-0.23980218310654164,-0.18917866570934966,-0.24020994402056695,-0.2445062482310957,0.05062351739719199,0.0510312783112173,0.055327582521746056
dualls_adapted,11,-0.08281336599886417,-0.059190670665371536,-0.07942126679799803,-0.09880357325401493,0.02362269533349266,0.0202305961326265,0.03961290258864339
dualls_adapted,23,-0.1518256914153695,-0.06981475986225272,-0.15312339049429569,-0.16176876567171333,0.08201093155311678,0.083308630632043,0.09195400580946063
dualls_adapted,47,-0.1418491678878665,-0.004454284043606071,-0.1406652812427552,-0.14440150998231222,0.13739488384426043,0.13621099719914914,0.13994722593870618
dualls_adapted,59,-0.08499855443313717,-0.06514756877655739,-0.07616387406826494,-0.09378273052774042,0.019850985656579778,0.011016305291707551,0.028635161751183042
dualls_adapted,71,-0.14738837615847586,-0.16728588916159742,-0.14438922943515298,-0.16528599969279328,-0.019897513003121547,-0.02289665972644444,-0.001999889468804117
dualls_adapted,89,-0.22469512104839087,-0.17554708994742535,-0.22523089692724754,-0.23685874725046543,0.049148031100965515,0.04968380697982218,0.06131165730304007
dualls_adapted,107,-0.3301302956461906,-0.3439423161760661,-0.3416689999715839,-0.35981012850845184,-0.013812020529875454,-0.0022733162044822506,0.01586781233238572
finetune,7,15.581629800125956,20.107120802428835,15.832307601972897,15.960879334967695,4.52549100230288,4.27481320045594,4.146241467461143
finetune,11,27.282564518561212,30.734881133079334,27.615379554062464,27.629570992646865,3.452316614518119,3.119501579016871,3.1053101404324672
finetune,23,24.523931226311625,27.134270391125586,24.750351273277072,24.778188282874254,2.610339164813965,2.383919117848515,2.356082108251333
finetune,47,17.32681603463292,20.515866896117217,17.592395604989218,17.578500033097765,3.1890508614842963,2.923471291128001,2.9373668630194514
finetune,59,17.352812798020246,21.646709135395184,17.683191040419853,17.74189423082288,4.2938963373749415,3.963518094975332,3.904814904572304
finetune,71,16.635204686632754,21.01928368195969,16.90059716316679,16.98983349414905,4.384078995326936,4.1186865187929,4.029450187810639
finetune,89,23.78871559173614,27.46373450464809,24.12695196908438,24.175083351348825,3.675018912911953,3.336782535563708,3.288651153299263
finetune,107,13.25575552192554,17.04421677844278,13.468955265984487,13.570981447336516,3.7884612565172433,3.575261512458296,3.473235331106268
gss_adapted,7,-0.25377799651622773,-0.2568879372312113,-0.2567665462585541,-0.2697740495261307,-0.003109940714983572,-0.00012139097265713717,0.012886112294919427
gss_adapted,11,-0.2956096092805266,-0.2272164600261294,-0.29388930712416383,-0.31233158425805485,0.06839314925439724,0.06667284709803441,0.08511512423192545
gss_adapted,23,-0.3608047326438129,-0.4148162125346352,-0.3720108519484547,-0.38679856369710885,-0.0540114798908223,-0.04280536058618053,-0.028017648837526297
gss_adapted,47,-0.17173267953246832,-0.23375800332240596,-0.17854567802961244,-0.18898585885530375,-0.062025323789937616,-0.055212325292793504,-0.04477214446710219
gss_adapted,59,-0.24241149455308908,-0.23258270119474483,-0.2610611053342535,-0.2656804708115566,0.009828793358344304,0.028478404139508674,0.0330977696168118
gss_adapted,71,0.39043616220653055,0.5382710514184176,0.4166636156061928,0.40449835519487687,0.14783488921188698,0.12160743581222475,0.13377269622354068
gss_adapted,89,-0.4334124903589487,-0.40539132359769825,-0.44326360175658663,-0.45244950232502584,0.02802116676125042,0.03787227815888839,0.047058178727327545
gss_adapted,107,0.2218976026467979,0.34271332000410926,0.23034314510909706,0.2110222166331852,0.12081571735731136,0.11237017489501222,0.13169110337092407
reservoir,7,0.2099404112637043,0.35157460509868854,0.18493711487338674,0.16828035911948042,0.14163419383498427,0.1666374902253018,0.18329424597920813
reservoir,11,0.45006081741452214,1.0363089268707104,0.44778665894855585,0.4658400844349674,0.5862481094561882,0.5885222679221545,0.570468842435743
reservoir,23,-0.17951941275298594,-0.16606230990908816,-0.18609599296778243,-0.20108261928323481,0.013457102843897834,0.020033683058694313,0.035020309374146665
reservoir,47,0.0484853487327695,0.199850989005813,0.03661041958399902,0.002672532710600195,0.1513656402730435,0.16324056942181397,0.19717845629521283
reservoir,59,-0.0111079475313425,-0.07889365746552675,-0.02568265676788988,-0.05846716024775318,-0.06778570993418426,-0.05321100069763688,-0.020426497217773575
reservoir,71,0.8093040937140584,0.9190221222014779,0.8107600810182471,0.7803262621133858,0.10971802848741954,0.10826204118323075,0.1386958600880921
