method,metric,n_seeds,mean,ci_low,ci_high
finetune,overall,8,19.4684287722433,16.38813610276459,22.82559327914884
finetune,cpa,8,23.20826041539959,20.29858349467378,26.369911955341195
finetune,random,8,19.746266184119644,16.638945470365478,23.12557074886172
finetune,matched,8,19.803116395905484,16.72027996474015,23.15328792743824
finetune,cpa_minus_overall,8,3.739831643156292,3.3040191076194767,4.148980745805144
finetune,cpa_minus_random,8,3.461994231279945,3.0332903318220783,3.8725798163975806
finetune,cpa_minus_matched,8,3.4051440194941085,2.997804263879611,3.788503200171817
reservoir,overall,8,0.1501406143510714,-0.06262285363431087,0.3861202604701742
reservoir,cpa,8,0.32159966283178,0.03213733940877304,0.6251420792655221
reservoir,random,8,0.13996316172937548,-0.07508524121994113,0.38027641477708507
reservoir,matched,8,0.12039621081198337,-0.09778313525530155,0.36026906144751136
reservoir,cpa_minus_overall,8,0.1714590484807086,0.057180946574848575,0.3086876930063057
reservoir,cpa_minus_random,8,0.1816365011024045,0.06831926866552909,0.31700403845140734
reservoir,cpa_minus_matched,8,0.2012034520197966,0.0932642934213485,0.3259172048348657
gss_adapted,overall,8,-0.1431769047539681,-0.3127251971142879,0.0600769037272781
gss_adapted,cpa,8,-0.11120853331053726,-0.32014858710425953,0.13059861091558728
gss_adapted,random,8,-0.14481629121704193,-0.32192735971470443,0.06587774320884845
gss_adapted,matched,8,-0.1575624322056398,-0.3330453675062442,0.052299780886761474
gss_adapted,cpa_minus_overall,8,0.03196837144343085,-0.016459795656064136,0.0823283444000389
gss_adapted,cpa_minus_random,8,0.03360775790650466,-0.009065854982166534,0.0757006367625579
gss_adapted,cpa_minus_matched,8,0.04635389889510256,0.002757484386050926,0.09002718851399509
cgsm_dual,overall,8,-0.20223811224969104,-0.2620678243310191,-0.14214386876486246
cgsm_dual,cpa,8,-0.1844574441977993,-0.2657532469844438,-0.10659247331279152
cgsm_dual,random,8,-0.2063022478463653,-0.2650782793594284,-0.14702930112841125
cgsm_dual,matched,8,-0.21889504277979777,-0.2811189409142863,-0.15659785295525275
cgsm_dual,cpa_minus_overall,8,0.01778066805189174,-0.027026609286019534,0.06284004232576713
cgsm_dual,cpa_minus_random,8,0.021844803648566002,-0.02099369768754403,0.062454008520381014
cgsm_dual,cpa_minus_matched,8,0.03443759858199848,-0.0017916485956096027,0.0705039312968887
dualls_adapted,overall,8,-0.17543784446185454,-0.2334813180215843,-0.12427370886430142
dualls_adapted,cpa,8,-0.13432015554277826,-0.2089821886595513,-0.06948826948223731
dualls_adapted,random,8,-0.17510911036973315,-0.23718307968718905,-0.1210080367965639
dualls_adapted,matched,8,-0.18815221288982337,-0.24952556314180294,-0.13535761363873555
dualls_adapted,cpa_minus_overall,8,0.041117688919076266,0.009478270302779493,0.07678810978997788
dualls_adapted,cpa_minus_random,8,0.040788954826954875,0.009639056787672223,0.07654586458736667
dualls_adapted,cpa_minus_matched,8,0.05383205734704512,0.026577893736471972,0.08548945479642431
