method,seed,task,stratum_name,stratum_n,overall,stratum,matched,stratum_minus_overall,stratum_minus_matched,cpa_matched,stratum_minus_cpa_matched
finetune,7,baseline,within_3s,705,7.850540060922503,12.28819141954395,7.971069011982246,4.437651358621446,4.317122407561703,,
finetune,7,baseline,within_5s,758,7.850540060922503,11.854753604114528,7.958602605134273,4.004213543192025,3.8961509989802545,,
finetune,7,baseline,within_10s,887,7.850540060922503,11.010430844217169,7.971233587560684,3.1598907832946654,3.039197256656484,,
finetune,7,baseline,ongoing,599,7.850540060922503,13.182054301434645,8.007219774029304,5.331514240512142,5.174834527405341,11.168498344194438,2.0135559572402073
finetune,7,baseline,new_0_3s,106,7.850540060922503,7.237022869991806,7.766783101923857,-0.6135171909306969,-0.5297602319320509,10.553174230256127,-3.316151360264321
finetune,7,baseline,new_3_5s,53,7.850540060922503,6.089212851704292,7.79277587253387,-1.7613272092182113,-1.703563020829578,10.754244431420252,-4.6650315797159605
finetune,7,baseline,new_5_10s,129,7.850540060922503,6.049216487610987,8.04545284863993,-1.8013235733115165,-1.9962363610289442,10.757443623067731,-4.708227135456744
finetune,7,baseline,no_entry_10s,1113,7.850540060922503,5.332280290228551,7.754353935021275,-2.518259770693952,-2.4220736447927234,,
finetune,11,baseline,within_3s,705,18.627272356867792,21.46100441285059,18.705110526204418,2.8337320559827965,2.75589388664617,,
finetune,11,baseline,within_5s,758,18.627272356867792,21.137870500694792,18.647295638474457,2.510598143827,2.4905748622203348,,
finetune,11,baseline,within_10s,887,18.627272356867792,20.561974437892637,18.687612701526888,1.9347020810248452,1.8743617363657492,,
finetune,11,baseline,ongoing,599,18.627272356867792,21.937403916218045,18.657212731530613,3.3101315593502534,3.280191184687432,20.571433045755768,1.3659708704622773
finetune,11,baseline,new_0_3s,106,18.627272356867792,18.76889778533072,18.975778252710175,0.1416254284629268,-0.20688046737945598,20.7316234320666,-1.9627256467358798
finetune,11,baseline,new_3_5s,53,18.627272356867792,16.839579782395994,17.87824854697217,-1.787692574471798,-1.038668764576176,19.940060211137446,-3.1004804287414522
finetune,11,baseline,new_5_10s,129,18.627272356867792,17.178027030109433,18.92451451388144,-1.4492453267583585,-1.7464874837720075,20.634167883827267,-3.4561408537178337
finetune,11,baseline,no_entry_10s,1113,18.627272356867792,17.08542083317593,18.579184409237403,-1.5418515236918608,-1.4937635760614718,,
finetune,23,baseline,within_3s,705,11.736808467164636,13.674931307887354,11.745321352252363,1.938122840722718,1.9296099556349908,,
finetune,23,baseline,within_5s,758,11.736808467164636,13.306410997398295,11.727667973352512,1.5696025302336594,1.5787430240457834,,
finetune,23,baseline,within_10s,887,11.736808467164636,12.76921868418357,11.732484365355631,1.0324102170189349,1.0367343188279392,,
finetune,23,baseline,ongoing,599,11.736808467164636,14.304949321910017,11.749053855160506,2.5681408547453817,2.5558954667495115,12.885874008527454,1.4190753133825638
finetune,23,baseline,new_0_3s,106,11.736808467164636,10.114735172042307,11.724229189592206,-1.6220732951223287,-1.609494017549899,12.481803383447906,-2.3670682114055985
finetune,23,baseline,new_3_5s,53,11.736808467164636,8.40439554655327,11.492844725722398,-3.3324129206113664,-3.088449179169128,12.751754700147616,-4.347359153594347
finetune,23,baseline,new_5_10s,129,11.736808467164636,9.612693308859832,11.760785335420454,-2.1241151583048037,-2.1480920265606223,12.470885922554896,-2.8581926136950635
finetune,23,baseline,no_entry_10s,1113,11.736808467164636,10.914034107330139,11.74025453931611,-0.8227743598344972,-0.8262204319859716,,
finetune,47,baseline,within_3s,705,6.922497689247131,9.81288022842813,6.9305891976952365,2.8903825391809983,2.882291030732893,,
finetune,47,baseline,within_5s,758,6.922497689247131,9.38009732159587,6.860973946686738,2.457599632348738,2.519123374909131,,
finetune,47,baseline,within_10s,887,6.922497689247131,8.747581442219563,6.8517026949680355,1.8250837529724313,1.895878747251527,,
finetune,47,baseline,ongoing,599,6.922497689247131,10.471203053833447,6.857139898903172,3.548705364586316,3.6140631549302746,8.804707844681927,1.6664952091515204
finetune,47,baseline,new_0_3s,106,6.922497689247131,6.09273520561884,7.345647027661679,-0.8297624836282909,-1.2529118220428384,9.071561547000142,-2.9788263413813016
finetune,47,baseline,new_3_5s,53,6.922497689247131,3.623268089204464,5.934959758743535,-3.299229600042667,-2.3116916695390706,7.83755611261177,-4.214288023407306
finetune,47,baseline,new_5_10s,129,6.922497689247131,5.030937747899876,6.797225107349622,-1.8915599413472552,-1.7662873594497457,8.589990250649917,-3.559052502750041
finetune,47,baseline,no_entry_10s,1113,6.922497689247131,5.4680059651801525,6.978917419638467,-1.4544917240669788,-1.5109114544583147,,
finetune,59,baseline,within_3s,705,10.309609429761768,14.911368565145114,10.605106530854153,4.601759135383347,4.306262034290961,,
finetune,59,baseline,within_5s,758,10.309609429761768,14.458932997172301,10.541097815781766,4.1493235674105335,3.9178351813905348,,
finetune,59,baseline,within_10s,887,10.309609429761768,13.65371206147426,10.564966266476633,3.3441026317124933,3.088745794997628,,
finetune,59,baseline,ongoing,599,10.309609429761768,15.64752554510392,10.585298658935333,5.337916115342152,5.062226886168586,13.696382288983166,1.9511432561207531
finetune,59,baseline,new_0_3s,106,10.309609429761768,10.751387140660915,10.717039693867125,0.44177771089914764,0.03434744679378987,13.667395105191437,-2.9160079645305217
finetune,59,baseline,new_3_5s,53,10.309609429761768,8.440686291118837,9.68966113415854,-1.8689231386429306,-1.2489748430397025,13.075859881516026,-4.635173590397189
