method,stratum_name,metric,n_seeds,mean,ci_low,ci_high
finetune,within_3s,overall,8,19.4684287722433,16.38813610276459,22.82559327914884
finetune,within_3s,stratum,8,24.07820818263594,21.259094139173406,27.138958847843362
finetune,within_3s,matched,8,19.77010548203403,16.69418808778662,23.113248003718407
finetune,within_3s,stratum_minus_overall,8,4.609779410392643,4.081819774429282,5.145221526518091
finetune,within_3s,stratum_minus_matched,8,4.308102700601912,3.814109409364766,4.814239930963361
finetune,within_3s,cpa_matched,0,,,
finetune,within_3s,stratum_minus_cpa_matched,0,,,
finetune,within_5s,overall,8,19.4684287722433,16.38813610276459,22.82559327914884
finetune,within_5s,stratum,8,23.718684424746428,20.870650935735494,26.811003305262155
finetune,within_5s,matched,8,19.783189073502122,16.709948820549577,23.12693885160755
finetune,within_5s,stratum_minus_overall,8,4.250255652503132,3.7516698319843,4.746593133679045
finetune,within_5s,stratum_minus_matched,8,3.935495351244307,3.4680719008202465,4.404618328657168
finetune,within_5s,cpa_matched,0,,,
finetune,within_5s,stratum_minus_cpa_matched,0,,,
finetune,within_10s,overall,8,19.4684287722433,16.38813610276459,22.82559327914884
finetune,within_10s,stratum,8,23.20826041539959,20.298583494673785,26.369911955341195
finetune,within_10s,matched,8,19.803116395905484,16.72027996474015,23.153287927438242
finetune,within_10s,stratum_minus_overall,8,3.739831643156292,3.3040191076194767,4.148980745805144
finetune,within_10s,stratum_minus_matched,8,3.4051440194941085,2.997804263879611,3.788503200171817
finetune,within_10s,cpa_matched,0,,,
finetune,within_10s,stratum_minus_cpa_matched,0,,,
finetune,ongoing,overall,8,19.4684287722433,16.38813610276459,22.82559327914884
finetune,ongoing,stratum,8,24.71994384708018,21.95845974332035,27.689600585308234
finetune,ongoing,matched,8,19.801656023974637,16.73113593384398,23.144146172582946
finetune,ongoing,stratum_minus_overall,8,5.251515074836885,4.663904833773634,5.859526230721781
finetune,ongoing,stratum_minus_matched,8,4.918287823105546,4.356614128032543,5.488005381944366
finetune,ongoing,cpa_matched,8,23.266579249495518,20.38377597804645,26.389646839925494
finetune,ongoing,stratum_minus_cpa_matched,8,1.4533645975846645,1.2605464831460638,1.6526476236658278
finetune,new_0_3s,overall,8,19.4684287722433,16.38813610276459,22.82559327914884
finetune,new_0_3s,stratum,8,18.578239792761355,15.327051019027511,22.127892571597194
finetune,new_0_3s,matched,8,19.38823239903291,16.275621035169536,22.78139012270637
finetune,new_0_3s,stratum_minus_overall,8,-0.8901889794819436,-1.2900012124743314,-0.44223889391172505
finetune,new_0_3s,stratum_minus_matched,8,-0.8099926062715511,-1.142561112608091,-0.39789644988797057
finetune,new_0_3s,cpa_matched,8,22.778269592892414,19.807098623603064,26.02362332411434
finetune,new_0_3s,stratum_minus_cpa_matched,8,-4.200029800131058,-4.649962585725631,-3.751449616019212
finetune,new_3_5s,overall,8,19.4684287722433,16.38813610276459,22.82559327914884
finetune,new_3_5s,stratum,8,18.654401819340116,15.443855949817635,22.184147109926165
finetune,new_3_5s,matched,8,19.917568348923723,16.853806722497684,23.2776702983004
finetune,new_3_5s,stratum_minus_overall,8,-0.8140269529031806,-1.2630305724110729,-0.3683672517200562
finetune,new_3_5s,stratum_minus_matched,8,-1.2631665295836054,-1.6576675484117087,-0.8597224655215994
finetune,new_3_5s,cpa_matched,8,23.062492223373546,20.163267339989027,26.238530610218444
finetune,new_3_5s,stratum_minus_cpa_matched,8,-4.408090404033432,-4.926797074482685,-3.931943978672061
finetune,new_5_10s,overall,8,19.4684287722433,16.38813610276459,22.82559327914884
finetune,new_5_10s,stratum,8,20.069431598736966,16.804198509723463,23.66523317966514
finetune,new_5_10s,matched,8,19.946957774541588,16.796924765498403,23.365953294210044
finetune,new_5_10s,stratum_minus_overall,8,0.6010028264936662,0.19946177519976283,1.0302628155414664
finetune,new_5_10s,stratum_minus_matched,8,0.12247382419537693,-0.22841708642214564,0.5019362415897599
finetune,new_5_10s,cpa_matched,8,23.172922378425945,20.200689275649292,26.438499460751686
finetune,new_5_10s,stratum_minus_cpa_matched,8,-3.103490779688981,-3.652822418880818,-2.5781127338616923
finetune,no_entry_10s,overall,8,19.4684287722433,16.38813610276459,22.82559327914884
finetune,no_entry_10s,stratum,8,17.163627773109198,13.920531436881214,20.69442368807136
finetune,no_entry_10s,matched,8,19.27912479444814,16.199856780297967,22.63787669637591
finetune,no_entry_10s,stratum_minus_overall,8,-2.304800999134103,-2.5641321940838893,-2.0357456205928344
finetune,no_entry_10s,stratum_minus_matched,8,-2.1154970213389444,-2.3580480958821814,-1.865087572242595
finetune,no_entry_10s,cpa_matched,0,,,
finetune,no_entry_10s,stratum_minus_cpa_matched,0,,,
reservoir,within_3s,overall,8,0.15014061435107143,-0.06262285363431087,0.3861202604701742
reservoir,within_3s,stratum,8,0.3864227002004801,0.06427402306738933,0.7329386028913762
reservoir,within_3s,matched,8,0.10485609520002234,-0.11751330887615527,0.34847528065507527
reservoir,within_3s,stratum_minus_overall,8,0.2362820858494086,0.08857487704406634,0.4281604701502574
reservoir,within_3s,stratum_minus_matched,8,0.28156660500045766,0.14380727558277048,0.45673206987547155
reservoir,within_3s,cpa_matched,0,,,
reservoir,within_3s,stratum_minus_cpa_matched,0,,,
reservoir,within_5s,overall,8,0.15014061435107143,-0.06262285363431087,0.3861202604701742
reservoir,within_5s,stratum,8,0.35872363708145383,0.051384771280858436,0.6849118168539446
reservoir,within_5s,matched,8,0.11009161732256824,-0.11164636830341791,0.35327108852448275
reservoir,within_5s,stratum_minus_overall,8,0.20858302273038246,0.07402198567245324,0.37985573191871097
reservoir,within_5s,stratum_minus_matched,8,0.2486320197588856,0.12339177087230785,0.4037774441781719
reservoir,within_5s,cpa_matched,0,,,
reservoir,within_5s,stratum_minus_cpa_matched,0,,,
reservoir,within_10s,overall,8,0.15014061435107143,-0.06262285363431087,0.3861202604701742
reservoir,within_10s,stratum,8,0.32159966283178,0.032137339408773044,0.6251420792655221
reservoir,within_10s,matched,8,0.1203962108119834,-0.09778313525530155,0.36026906144751136
reservoir,within_10s,stratum_minus_overall,8,0.1714590484807086,0.057180946574848575,0.3086876930063057
reservoir,within_10s,stratum_minus_matched,8,0.2012034520197966,0.09326429342134852,0.32591720483486564
reservoir,within_10s,cpa_matched,0,,,
reservoir,within_10s,stratum_minus_cpa_matched,0,,,
reservoir,ongoing,overall,8,0.15014061435107143,-0.06262285363431087,0.3861202604701742
reservoir,ongoing,stratum,8,0.4373437141691128,0.09581359848134326,0.8235299999702825
reservoir,ongoing,matched,8,0.09871679821362957,-0.12205981299047089,0.3407816437746265
reservoir,ongoing,stratum_minus_overall,8,0.2872030998180414,0.11525202631657096,0.5221255073464266
reservoir,ongoing,stratum_minus_matched,8,0.3386269159554833,0.17632524439028807,0.5567397638761411
reservoir,ongoing,cpa_matched,8,0.29536128313656207,0.0013343091535612459,0.6028729688238972
reservoir,ongoing,stratum_minus_cpa_matched,8,0.14198243103255076,0.08091585883112129,0.23772258077573707
reservoir,new_0_3s,overall,8,0.15014061435107143,-0.06262285363431087,0.3861202604701742
reservoir,new_0_3s,stratum,8,-0.008588654285378312,-0.26527324296469457,0.2529590755558394
reservoir,new_0_3s,matched,8,0.14785595412443345,-0.0856909920004284,0.4082750421415889
reservoir,new_0_3s,stratum_minus_overall,8,-0.1587292686364497,-0.30440977245494494,-0.010245496953103686
reservoir,new_0_3s,stratum_minus_matched,8,-0.1564446084098117,-0.304882781772846,-0.008955229318502492
reservoir,new_0_3s,cpa_matched,8,0.33353422131861243,0.03829549607463036,0.639373191205823
reservoir,new_0_3s,stratum_minus_cpa_matched,8,-0.3421228756039908,-0.5862603016644063,-0.1454151266906642
reservoir,new_3_5s,overall,8,0.15014061435107143,-0.06262285363431087,0.3861202604701742
reservoir,new_3_5s,stratum,8,-0.02089707286025437,-0.1902204047039457,0.15945936014520382
reservoir,new_3_5s,matched,8,0.1825633068854755,-0.03258356633265061,0.4217993821205366
reservoir,new_3_5s,stratum_minus_overall,8,-0.17103768721132584,-0.30255851657142174,-0.05443612730539894
reservoir,new_3_5s,stratum_minus_matched,8,-0.2034603797457299,-0.35686647116189607,-0.07567951667535353
reservoir,new_3_5s,cpa_matched,8,0.3785975597946942,0.08659543675349238,0.6893325084932461
reservoir,new_3_5s,stratum_minus_cpa_matched,8,-0.3994946326549486,-0.660933455632131,-0.21717577797042054
reservoir,new_5_10s,overall,8,0.15014061435107143,-0.06262285363431087,0.3861202604701742
reservoir,new_5_10s,stratum,8,0.09629571939539576,-0.10708469125764451,0.33914382989287334
reservoir,new_5_10s,matched,8,0.1848850474418381,-0.010416552801060616,0.4016007207007418
reservoir,new_5_10s,stratum_minus_overall,8,-0.05384489495567567,-0.18119850621831368,0.06380437061714267
reservoir,new_5_10s,stratum_minus_matched,8,-0.08858932804644234,-0.20744785327533877,0.021384326643101668
reservoir,new_5_10s,cpa_matched,8,0.4228679250387103,0.15077132206401636,0.7130400918508145
reservoir,new_5_10s,stratum_minus_cpa_matched,8,-0.3265722056433146,-0.5240597417869886,-0.19552170843677438
reservoir,no_entry_10s,overall,8,0.15014061435107143,-0.06262285363431087,0.3861202604701742
reservoir,no_entry_10s,stratum,8,0.046649595696098334,-0.13017407468296438,0.2673023781168835
reservoir,no_entry_10s,matched,8,0.16895908771224016,-0.03990469297206983,0.40133701359161544
reservoir,no_entry_10s,stratum_minus_overall,8,-0.1034910186549731,-0.19815435868333475,-0.024319054531503834
reservoir,no_entry_10s,stratum_minus_matched,8,-0.12230949201614186,-0.2084541769161472,-0.047558585520127754
reservoir,no_entry_10s,cpa_matched,0,,,
reservoir,no_entry_10s,stratum_minus_cpa_matched,0,,,
gss_adapted,within_3s,overall,8,-0.1431769047539681,-0.3127251971142879,0.0600769037272781
