task,stratum,n,stratum_n,fraction,overlap_cpa_n
baseline,within_3s,2000,705,0.3525,705
baseline,within_5s,2000,758,0.379,758
baseline,within_10s,2000,887,0.4435,887
baseline,ongoing,2000,599,0.2995,599
baseline,new_0_3s,2000,106,0.053,106
baseline,new_3_5s,2000,53,0.0265,53
baseline,new_5_10s,2000,129,0.0645,129
baseline,no_entry_10s,2000,1113,0.5565,0
wind5,within_3s,2000,792,0.396,792
wind5,within_5s,2000,850,0.425,850
wind5,within_10s,2000,986,0.493,986
wind5,ongoing,2000,700,0.35,700
wind5,new_0_3s,2000,92,0.046,92
wind5,new_3_5s,2000,58,0.029,58
wind5,new_5_10s,2000,136,0.068,136
wind5,no_entry_10s,2000,1014,0.507,0
speed15,within_3s,2000,566,0.283,566
speed15,within_5s,2000,612,0.306,612
speed15,within_10s,2000,702,0.351,702
speed15,ongoing,2000,504,0.252,504
speed15,new_0_3s,2000,62,0.031,62
speed15,new_3_5s,2000,46,0.023,46
speed15,new_5_10s,2000,90,0.045,90
speed15,no_entry_10s,2000,1298,0.649,0
alt180,within_3s,2000,656,0.328,656
alt180,within_5s,2000,700,0.35,700
alt180,within_10s,2000,802,0.401,802
alt180,ongoing,2000,566,0.283,566
alt180,new_0_3s,2000,90,0.045,90
alt180,new_3_5s,2000,44,0.022,44
alt180,new_5_10s,2000,102,0.051,102
alt180,no_entry_10s,2000,1198,0.599,0
speed10,within_3s,2000,542,0.271,542
speed10,within_5s,2000,576,0.288,576
speed10,within_10s,2000,674,0.337,674
speed10,ongoing,2000,500,0.25,500
speed10,new_0_3s,2000,42,0.021,42
speed10,new_3_5s,2000,34,0.017,34
speed10,new_5_10s,2000,98,0.049,98
speed10,no_entry_10s,2000,1326,0.663,0
