example_index,risk_rank,gradient_magnitude_rank,risk_score,gradient_magnitude,high_risk
0,0.685,0.9895,0.7056688,8.68095,True
1,0.9755,0.7165,0.9825024,0.97997916,True
2,0.99325,0.7645,0.993677,1.0904855,True
3,0.86,0.294,0.8999336,0.41557848,True
4,0.319,0.57225,0.29252627,0.71352303,False
5,0.33125,0.19575,0.3067975,0.32987294,False
6,0.35325,0.45825,0.33506784,0.58528674,False
7,0.0615,0.198,0.018922243,0.3308136,False
8,0.976,0.92,0.98284876,1.9177814,True
9,0.9905,0.33775,0.991673,0.45679674,True
10,0.0475,0.844,0.009758991,1.3854415,False
11,0.0115,0.42725,8.26153e-05,0.5494416,False
12,0.00525,0.54975,5.904882e-06,0.6836433,False
13,0.796,0.93725,0.83726966,2.179268,True
14,0.57525,0.33225,0.59036845,0.45065013,False
15,0.44225,0.36825,0.43182135,0.4903332,False
16,0.78425,0.73925,0.82122326,1.0314202,True
17,0.9545,0.96275,0.96950895,2.9278712,True
18,0.945,0.71375,0.9637307,0.9721633,True
19,0.81175,0.69025,0.85544413,0.90965897,True
20,0.988,0.8215,0.99009866,1.2768449,True
21,0.82925,0.13325,0.8739586,0.28064162,True
22,0.96575,0.73775,0.9760506,1.0287917,True
23,0.84425,0.293,0.8866895,0.41469145,True
24,0.287,0.6715,0.25769064,0.8742935,False
25,0.15675,0.72375,0.10549582,0.99494076,False
26,0.28825,0.72125,0.25960785,0.99183905,False
27,0.36125,0.558,0.34407115,0.6953223,False
28,0.0685,0.18425,0.022843944,0.31911832,False
29,0.123,0.2415,0.07307589,0.3698969,False
30,0.02475,0.67375,0.0012473307,0.87760633,False
31,0.558,0.8065,0.5699732,1.2192633,False
32,0.91025,0.9205,0.9423382,1.9295832,True
33,0.198,0.3795,0.15773605,0.49956828,False
34,0.46275,0.653,0.45502973,0.84069604,False
35,0.16925,0.99725,0.12392982,12.329649,False
36,0.80975,0.132,0.85376877,0.27971715,True
37,0.22475,0.82325,0.1857148,1.282284,False
38,0.20375,0.7015,0.16460583,0.9363809,False
39,0.462,0.4115,0.45484453,0.53264505,False
40,0.82525,0.81125,0.86972433,1.2318448,True
41,0.61575,0.61625,0.6310093,0.7706671,True
42,0.5015,0.9915,0.5018564,9.885308,False
43,0.682,0.692,0.7022934,0.9161011,True
44,0.623,0.553,0.63863707,0.6881461,True
45,0.33275,0.624,0.308069,0.78566855,False
46,0.32075,0.62,0.29386574,0.7793199,False
47,0.21725,0.3035,0.17925246,0.42165726,False
48,0.10375,0.77375,0.052537065,1.1211582,False
49,0.919,0.75225,0.9490393,1.0597446,True
50,0.637,0.79275,0.65124756,1.1770129,True
51,0.85475,0.84925,0.8949168,1.4130857,True
52,0.6015,0.328,0.61478895,0.44550666,True
53,0.62625,0.38825,0.6415474,0.51073134,True
54,0.64725,0.36475,0.6635603,0.48780257,True
55,0.31375,0.82175,0.28669667,1.2771808,False
56,0.5445,0.4225,0.55362487,0.5436037,False
57,0.768,0.4235,0.8039969,0.5442016,True
58,0.03725,0.99675,0.0052750995,12.094563,False
59,0.88425,0.2655,0.9208653,0.3892051,True
60,0.86075,0.44,0.90073824,0.5662109,True
61,0.94575,0.88525,0.96419483,1.603527,True
62,0.9445,0.45675,0.9634708,0.583944,True
63,0.39125,0.12175,0.3689891,0.26837876,False
64,0.7975,0.44975,0.83913976,0.5753049,True
65,0.41875,0.4765,0.4013461,0.6024187,False
66,0.8315,0.5095,0.87631226,0.6373994,True
67,0.7785,0.6365,0.8155841,0.80728066,True
68,0.2365,0.3685,0.19671889,0.49070606,False
69,0.9925,0.76225,0.99328136,1.0850863,True
70,0.8915,0.962,0.927609,2.8773592,True
71,0.812,0.30325,0.85546994,0.4216082,True
72,0.38625,0.63,0.3646765,0.79546255,False
73,0.8485,0.657,0.88889873,0.84787124,True
74,0.8075,0.7115,0.85003585,0.96574515,True
75,0.968,0.548,0.97684014,0.6821287,True
76,0.50575,0.98925,0.50843894,8.652982,False
77,0.467,0.2495,0.4588773,0.37609583,False
78,0.6035,0.3555,0.61668044,0.47870734,True
79,0.5825,0.3045,0.59663665,0.42282808,False
80,0.363,0.7925,0.3455953,1.1762557,False
81,0.039,0.45875,0.005849367,0.5855961,False
82,0.949,0.4415,0.9661629,0.5686845,True
83,0.42425,0.79,0.40805423,1.1653955,False
84,0.95375,0.81525,0.9690196,1.2446791,True
85,0.75425,0.11825,0.78786945,0.26325744,True
86,0.352,0.46525,0.33277237,0.59062487,False
87,0.862,0.9085,0.9021305,1.7861533,True
88,0.9065,0.65625,0.94093007,0.8470624,True
89,0.469,0.45625,0.46091935,0.58315575,False
90,0.34325,0.4815,0.3192286,0.60796773,False
91,0.09025,0.07275,0.04007695,0.21797168,False
92,0.065,0.7105,0.021193119,0.9627165,False
93,0.972,0.813,0.9787172,1.2368703,True
94,0.73375,0.16275,0.7630862,0.30205452,True
95,0.288,0.98625,0.25898638,7.42349,False
96,0.825,0.7305,0.8696781,1.0096489,True
97,0.25775,0.841,0.22463742,1.3709861,False
98,0.107,0.5565,0.056704544,0.6933926,False
99,0.269,0.9755,0.23705076,4.16437,False
100,0.75325,0.65675,0.78735745,0.84777254,True
101,0.194,0.2345,0.1533665,0.3629057,False
102,0.644,0.31775,0.65897346,0.43379503,True
103,0.547,0.5485,0.55601025,0.6826339,False
104,0.312,0.824,0.28500882,1.2862805,False
105,0.356,0.49925,0.33877322,0.62691575,False
106,0.3585,0.42275,0.3409496,0.54364026,False
107,0.641,0.74575,0.65399885,1.0453812,True
108,0.86875,0.439,0.90697217,0.56533897,True
109,0.39775,0.49825,0.37345982,0.6261675,False
110,0.694,0.54925,0.71807075,0.6829667,True
111,0.45175,0.96575,0.4420204,3.0596905,False
112,0.82475,0.52975,0.86958164,0.6591935,True
113,0.523,0.8205,0.5294971,1.2698648,False
114,0.65625,0.1825,0.67480093,0.31860703,True
115,0.42325,0.76275,0.40759334,1.0855627,False
116,0.614,0.5655,0.62861794,0.70325863,True
117,0.296,0.24375,0.26877794,0.37184787,False
118,0.433,0.621,0.4205869,0.78146535,False
119,0.1435,0.65475,0.091731995,0.8444961,False
120,0.8725,0.127,0.9110298,0.27416176,True
121,0.027,0.5525,0.0017681702,0.688071,False
122,0.98625,0.22675,0.98890036,0.35560766,True
123,0.5175,0.7005,0.52289313,0.9324527,False
124,0.88275,0.08525,0.91983765,0.23178487,True
125,0.52225,0.59525,0.5282051,0.7371676,False
126,0.02575,0.61075,0.0014724728,0.76032966,False
127,0.0855,0.8965,0.036322553,1.6898472,False
128,0.1005,0.7065,0.049666043,0.9529804,False
129,0.28075,0.668,0.25104058,0.868841,False
130,0.9395,0.59125,0.9610836,0.7326343,True
131,0.62325,0.60775,0.63864607,0.75636363,True
132,0.425,0.3615,0.40815482,0.4852795,False
133,0.632,0.98025,0.6459799,5.4001727,True
134,0.402,0.504,0.37853375,0.63208145,False
135,0.26375,0.825,0.23177545,1.2915554,False
