gradient_quintile,risk_quintile,n,expected_n,observed_expected_ratio
1,1,197,160.0,1.23125
1,2,189,160.0,1.18125
1,3,148,160.0,0.925
1,4,166,160.0,1.0375
1,5,100,160.0,0.625
2,1,192,160.0,1.2
2,2,165,160.0,1.03125
2,3,183,160.0,1.14375
2,4,140,160.0,0.875
2,5,120,160.0,0.75
3,1,169,160.0,1.05625
3,2,150,160.0,0.9375
3,3,175,160.0,1.09375
3,4,158,160.0,0.9875
3,5,148,160.0,0.925
4,1,122,160.0,0.7625
4,2,144,160.0,0.9
4,3,146,160.0,0.9125
4,4,192,160.0,1.2
4,5,196,160.0,1.225
5,1,120,160.0,0.75
5,2,152,160.0,0.95
5,3,148,160.0,0.925
5,4,144,160.0,0.9
5,5,236,160.0,1.475
