seed,analysis,condition,method,final_risk_FDE_m,high_risk_cover_max,weighted_cover_mean,forgetting_risk_fde,cover_residual,forgetting_residual_m,final_fde_residual_m
7,budget,100,gss_adapted,11.20461082458496,1.0108639001846311,0.444212794303894,0.2642057418823246,0.013191769520441654,-1.349512227376302,-1.2391008271111392
7,budget,100,h2c_adapted,12.657935937245687,1.0545583963394165,0.433882862329483,1.8809120178222665,0.0028618375460306433,0.26719404856363993,0.21422428554958906
7,budget,100,reservoir,13.46858819325765,1.007671594619751,0.41496741771698,2.696036148071289,-0.016053607066472353,1.0823181788126623,1.024876541561552
11,budget,100,gss_adapted,11.28252681096395,1.0539252758026123,0.4525620341300964,0.3800895690917961,0.008934130271275764,-1.143914159138998,-1.0118514696756993
11,budget,100,h2c_adapted,12.166858832041422,1.092662334442139,0.4395033717155456,1.3286016464233394,-0.004124532143275017,-0.19540208180745466,-0.1275194485982265
11,budget,100,reservoir,13.433749198913574,0.9851970076560974,0.4388183057308197,2.863319969177246,-0.004809598128000914,1.339316240946452,1.1393709182739258
23,budget,100,gss_adapted,11.62864112854004,1.0617157220840454,0.4715001881122589,0.7095479965209968,0.03474582235018414,-0.46092872619628844,-0.4148983955383283
23,budget,100,h2c_adapted,12.040986696879068,0.947436511516571,0.4272941350936889,1.0903774261474606,-0.00946023066838586,-0.08009929656982462,-0.0025528271993007223
23,budget,100,reservoir,12.460990746816,0.9472550749778748,0.4114687740802765,1.711504745483398,-0.02528559168179828,0.5410280227661128,0.4174512227376308
47,budget,100,gss_adapted,11.233986218770346,1.105268120765686,0.466290533542633,0.0174898147583004,0.028030435244242313,-0.9597841262817386,-0.7864296701219349
47,budget,100,h2c_adapted,11.55094067255656,0.987069308757782,0.4231083393096924,0.3795719146728508,-0.015151758988698305,-0.5977020263671882,-0.4694752163357201
47,budget,100,reservoir,13.276320775349935,1.0229297876358032,0.4253814220428467,2.5347600936889654,-0.012878676255544008,1.5574861526489263,1.255904886457655
7,budget,250,gss_adapted,10.990026156107584,0.917095184326172,0.3717965185642242,-0.0673397064208987,0.010664294163386046,-0.2564955393473308,-0.16403161154852874
7,budget,250,h2c_adapted,11.091719150543211,1.0054749250411987,0.3641296029090881,0.190691947937012,0.002997378508249937,0.0015361150105798471,-0.06233861711290167
7,budget,250,reservoir,11.380427996317543,0.8515584468841553,0.3474705517292022,0.4441152572631832,-0.013661672671635927,0.254959424336751,0.22637022866143042
11,budget,250,gss_adapted,10.738166809082031,0.9902018904685974,0.392378568649292,-0.4284250259399414,0.026756723721822084,-0.4886079152425128,-0.34087615542941485
11,budget,250,h2c_adapted,11.077280521392822,0.9500229358673096,0.3604996800422668,0.082629203796386,-0.005122164885203118,0.022446314493814644,-0.0017624431186238354
11,budget,250,reservoir,11.421681563059488,1.0023502111434937,0.3439872860908508,0.5263444900512695,-0.021634558836619133,0.4661616007486981,0.34263859854804224
23,budget,250,gss_adapted,10.91117254892985,0.9432365894317628,0.3768333494663238,-0.2380926132202141,0.014814217885335212,-0.41912810007731083,-0.31220282448662573
23,budget,250,h2c_adapted,11.265856742858888,0.9145020842552184,0.3565680980682373,0.2617826461791989,-0.00545103351275128,0.08074715932210216,0.0424813694424131
23,budget,250,reservoir,11.493096828460692,0.9060754179954528,0.3526559472084045,0.5194164276123054,-0.009363184372584099,0.33838094075520875,0.2697214550442162
47,budget,250,gss_adapted,11.039856751759848,0.9144436717033386,0.3696475327014923,-0.205999374389648,0.013834635416666685,-0.1342047373453773,-0.12021504508124536
47,budget,250,h2c_adapted,10.987680435180664,0.9289965629577636,0.356922447681427,-0.270367050170898,0.0011095503966013776,-0.19857241312662732,-0.1723913616604289
47,budget,250,reservoir,11.452678203582764,0.9492601752281188,0.3408687114715576,0.260982513427734,-0.014944185813268007,0.3327771504720047,0.2926064067416707
7,budget,500,gss_adapted,10.61646032333374,0.8511481285095215,0.317796528339386,-0.3998739242553711,0.01134855548540753,-0.3288107554117839,-0.329377969106039
7,budget,500,h2c_adapted,10.865115324656168,0.8530794978141785,0.3093374371528625,-0.1904109954833984,0.002889464298884037,-0.11934782663981118,-0.08072296778361121
7,budget,500,reservoir,11.355939229329428,0.8139054775238037,0.2922099530696869,0.3770954132080078,-0.014238019784291567,0.44815858205159503,0.41010093688964844
11,budget,500,gss_adapted,10.74810536702474,0.8252286911010742,0.3232132196426391,-0.4222600936889652,0.015279293060302679,-0.5271659851074215,-0.358460744222004
11,budget,500,h2c_adapted,10.855929374694824,0.922202169895172,0.3073430061340332,-0.2380035400390632,-0.0005909204483032227,-0.34290943145751945,-0.25063673655192
11,budget,500,reservoir,11.71566359202067,0.8063080906867981,0.2932455539703369,0.9749813079833972,-0.014688372611999512,0.8700754165649409,0.6090974807739258
