row_type,method,seed,method_minus_gss_risk_fde_m,ci95_low,ci95_high
paired_seed,risk_only,7.0,0.3303699493408185,,
paired_seed,risk_only,11.0,0.24485445022583,,
paired_seed,risk_only,23.0,0.2779496510823556,,
paired_seed,risk_only,47.0,-0.1197778383890799,,
paired_seed,risk_only,59.0,0.1456861495971679,,
paired_seed,risk_only,71.0,-0.4851020177205392,,
paired_seed,risk_only,89.0,0.0407083829243983,,
paired_seed,risk_only,107.0,-0.4662218093872052,,
bootstrap_mean_95ci,risk_only,,-0.0039416352907817,-0.2238371372222893,0.1951507553458204
paired_seed,risk_kcenter,7.0,0.4613796869913731,,
paired_seed,risk_kcenter,11.0,0.0374511082967128,,
paired_seed,risk_kcenter,23.0,0.3842837015787754,,
paired_seed,risk_kcenter,47.0,0.2526202201843244,,
paired_seed,risk_kcenter,59.0,0.4227736790974905,,
paired_seed,risk_kcenter,71.0,-0.1447413762410452,,
paired_seed,risk_kcenter,89.0,0.7779517173767108,,
paired_seed,risk_kcenter,107.0,-0.4944321314493791,,
bootstrap_mean_95ci,risk_kcenter,,0.2121608257293703,-0.0575534557302778,0.4585007677475624
paired_seed,cgsm_gradient,7.0,0.4922906557718907,,
paired_seed,cgsm_gradient,11.0,0.0544732411702479,,
paired_seed,cgsm_gradient,23.0,0.5647808710734026,,
paired_seed,cgsm_gradient,47.0,0.6039760907491036,,
paired_seed,cgsm_gradient,59.0,0.4832760492960588,,
paired_seed,cgsm_gradient,71.0,-0.2155671119689941,,
paired_seed,cgsm_gradient,89.0,0.8106007575988787,,
paired_seed,cgsm_gradient,107.0,-0.3687074979146292,,
bootstrap_mean_95ci,cgsm_gradient,,0.3031403819719949,0.018543680508932,0.5650567611058555
paired_seed,cgsm_dual,7.0,0.0928648312886561,,
paired_seed,cgsm_dual,11.0,-0.1497499148050938,,
paired_seed,cgsm_dual,23.0,0.1571494738260916,,
paired_seed,cgsm_dual,47.0,-0.0488475163777692,,
paired_seed,cgsm_dual,59.0,-0.0963783264160174,,
paired_seed,cgsm_dual,71.0,-0.472511450449625,,
paired_seed,cgsm_dual,89.0,0.3096543947855643,,
paired_seed,cgsm_dual,107.0,-0.369109630584715,,
bootstrap_mean_95ci,cgsm_dual,,-0.0721160173416135,-0.2452506532271697,0.0960293809572863
