method,eval_task_index,eval_task,ordinary,cpa
cgsm_dual,0,MA,-0.15024638175964344,-0.046638607978821134
cgsm_dual,1,FT,0.10134965181350708,-0.027937591075897106
cgsm_dual,2,LN,0.4969808459281921,-0.4331721067428588
cgsm_dual,3,ZS2,0.6220752000808718,0.17922294139862055
cgsm_dual,4,OF,0.5266624093055724,0.2067745923995975
cgsm_dual,5,EP0,0.22949251532554643,0.24528411030769348
cgsm_dual,6,GL,0.3140521943569185,0.24929726123809798
finetune,0,MA,2.1416603326797485,1.2262406349182124
finetune,1,FT,1.493600606918335,1.4910667538642883
finetune,2,LN,1.8518022298812866,0.504054069519043
finetune,3,ZS2,2.332782208919525,0.776549831032753
finetune,4,OF,3.0037070512771606,4.0348429679870605
finetune,5,EP0,0.5841748118400574,0.48760351538658153
finetune,6,GL,1.1903175115585327,1.1486323773860934
gss_adapted,0,MA,0.27675563097000144,0.14366972446441617
gss_adapted,1,FT,0.06864100694656339,-0.02968698740005493
gss_adapted,2,LN,0.7452215254306794,-0.37948983907699607
gss_adapted,3,ZS2,0.5696974098682404,0.16437616944313044
gss_adapted,4,OF,0.5883890390396116,0.5947727859020231
gss_adapted,5,EP0,0.17048481106758123,0.0882672369480133
gss_adapted,6,GL,0.2437882721424101,0.2309559881687167
reservoir,0,MA,-0.1985257267951962,0.041306972503661776
reservoir,1,FT,0.04710930585861206,0.0772470235824585
reservoir,2,LN,0.19505953788757352,-0.475632667541504
reservoir,3,ZS2,0.02660846710205078,-0.07775828242301933
reservoir,4,OF,0.6229091882705688,0.9117516875267031
reservoir,5,EP0,0.26401072740554815,0.180737465620041
reservoir,6,GL,0.19663071632385248,0.21951860189437877
